season,date,match_id,stage,round,match,team,opponent,player,xg,xgot,x,y,shot_type,goal_type,situation,body_part,minute
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,FC Barcelona,AS Monaco,Raphinha,0.046057339757681,0.0,21.5,70.9,miss,,free-kick,left-foot,90
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Folarin Balogun,0.026167770847678,0.0,13.5,57.7,block,,set-piece,right-foot,90
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Folarin Balogun,0.05196787789464,0.55742597579956,7.1,31.9,save,,assisted,left-foot,81
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,George Ilenikhena,0.056940156966448,0.0,19.7,53.4,miss,,assisted,left-foot,80
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,George Ilenikhena,0.3860938847065,0.15500465035439,12.5,39.7,goal,regular,fast-break,left-foot,71
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Takumi Minamino,0.046178817749023,0.0,13.4,39.5,block,,corner,left-foot,65
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Thilo Kehrer,0.071167230606079,0.0,6.9,56.9,block,,corner,right-foot,65
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,FC Barcelona,AS Monaco,Lamine Yamal,0.16671647131443,0.0,11.6,41.8,miss,,assisted,left-foot,62
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Vanderson,0.014598195441067,0.094343490898609,26.1,37.1,save,,assisted,right-foot,57
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Wilfried Singo,0.034641943871975,0.0,15.0,72.7,block,,regular,right-foot,47
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Mohammed Salisu,0.050132252275944,0.30168578028679,8.9,47.3,save,,corner,head,45
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Takumi Minamino,0.067601129412651,0.0,14.1,44.1,block,,assisted,right-foot,45
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Eliesse Ben Seghir,0.019059238955379,0.0,11.5,22.4,miss,,assisted,right-foot,41
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Takumi Minamino,0.022807454690337,0.0,9.2,74.1,miss,,assisted,right-foot,38
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,FC Barcelona,AS Monaco,Alejandro Balde,0.16388460993767,0.0,11.8,46.7,miss,,assisted,right-foot,31
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,FC Barcelona,AS Monaco,Lamine Yamal,0.0308987647295,0.2597339451313,18.8,61.5,goal,regular,assisted,left-foot,28
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Breel Embolo,0.07922238856554,0.052738279104233,9.7,53.8,save,,assisted,left-foot,27
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Lamine Camara,0.023773171007633,0.0,26.8,53.3,miss,,assisted,right-foot,21
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Maghnes Akliouche,0.086313061416149,0.61886155605316,13.9,60.7,goal,regular,assisted,left-foot,16
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Breel Embolo,0.14325051009655,0.16749960184097,8.3,53.4,save,,regular,left-foot,14
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Lamine Camara,0.097176499664783,0.0,20.6,41.0,block,,free-kick,right-foot,12
2425,2024-09-19,12764362,league_phase,,AS Monaco v FC Barcelona,AS Monaco,FC Barcelona,Eliesse Ben Seghir,0.044507514685392,0.14945414662361,13.5,29.3,save,,fast-break,right-foot,7
2425,2024-10-01,12764029,league_phase,,FC Barcelona v BSC Young Boys,BSC Young Boys,FC Barcelona,Silvère Ganvoula,0.38795354962349,0.26994988322258,9.1,65.2,save,,fast-break,right-foot,90
2425,2024-10-01,12764029,league_phase,,FC Barcelona v BSC Young Boys,FC Barcelona,BSC Young Boys,Raphinha,0.13540241122246,0.0,12.7,57.6,miss,,assisted,left-foot,90
2425,2024-10-01,12764029,league_phase,,FC Barcelona v BSC Young Boys,FC Barcelona,BSC Young Boys,Mohamed Camara,,,7.5,43.4,goal,own,regular,right-foot,81
2425,2024-10-01,12764029,league_phase,,FC Barcelona v BSC Young Boys,FC Barcelona,BSC Young Boys,Robert Lewandowski,0.087680414319038,0.0,8.3,59.6,block,,assisted,right-foot,72
