league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Andreas Christensen,4,2024,26987,148,200,Sub,17,20,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Eric Garcia,4,2024,26987,148,8045,Sub,17,13,0,0,0,0.0,0.40426722168922424,0.40426722168922424,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Ferrán Torres,4,2024,26987,148,6441,AML,13,70,0,0,1,0.29734405875205994,0.49480485916137695,0.19746080040931702,0,0.054322801530361176,1,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Gerard Martín,4,2024,26987,148,12821,Sub,17,20,0,0,0,0.0,0.3763372600078583,0.0,0,0.3763372600078583,1,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Iñigo Martínez,4,2024,26987,148,2484,DC,3,90,0,0,1,0.04228140041232109,0.22372256219387054,0.22372256219387054,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Jules Koundé,4,2024,26987,148,6433,DR,2,90,0,0,0,0.0,0.8565633893013,0.8565633893013,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Lamine Yamal,4,2024,26987,148,11527,AMR,11,90,0,0,4,0.6139779686927795,2.0691516399383545,0.32151520252227783,1,1.2194427251815796,3,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc Bernal,4,2024,26987,148,12820,DMC,7,77,0,0,0,0.0,0.2790064811706543,0.2790064811706543,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc Casadó,4,2024,26987,148,11151,DMC,7,90,0,0,3,0.5015609860420227,0.7257824540138245,0.614105761051178,0,0.14337967336177826,2,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc-André ter Stegen,4,2024,26987,148,2090,GK,1,90,0,0,0,0.0,0.6906949877738953,0.6906949877738953,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Pau Cubarsí,4,2024,26987,148,12005,DC,3,70,0,0,1,0.054322801530361176,0.15495209395885468,0.15495209395885468,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Pau Victor,4,2024,26987,148,10953,Sub,17,1,0,0,0,0.0,0.49217528104782104,0.3763372600078583,0,0.11583801358938217,1,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Pedri,4,2024,26987,148,8935,Sub,17,20,0,0,1,0.027929967269301414,0.027929967269301414,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Raphinha,4,2024,26987,148,8026,AMC,12,90,0,0,2,0.06701146066188812,1.078165054321289,0.6001567244529724,0,0.5032760500907898,3,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Robert Lewandowski,4,2024,26987,148,227,FW,15,90,2,0,4,1.888255000114441,2.1519370079040527,0.921078622341156,0,0.08588103950023651,1,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Álex Balde,4,2024,26987,148,9805,DL,4,70,0,0,1,0.019325271248817444,0.7426682710647583,0.7426682710647583,0,0.13793843984603882,2,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,André Almeida,4,2024,26987,146,11057,FW,15,72,0,0,0,0.0,0.015716101974248886,0.0,0,0.015716101974248886,1,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Cristhian Mosquera,4,2024,26987,146,10024,DC,3,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Dani Gómez,4,2024,26987,146,8774,Sub,17,18,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,David Otorbi,4,2024,26987,146,12297,Sub,17,7,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Diego López,4,2024,26987,146,9694,ML,10,72,0,0,0,0.0,1.201783299446106,0.0,1,1.201783299446106,3,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Dimitri Foulquier,4,2024,26987,146,2509,Sub,17,18,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Giorgi Mamardashvili,4,2024,26987,146,9693,GK,1,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Duro,4,2024,26987,146,6637,FW,15,90,1,0,4,1.5177106857299805,1.1988673210144043,0.015716101974248886,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Guillamón,4,2024,26987,146,8334,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Javier Guerra,4,2024,26987,146,10322,MC,9,90,0,0,0,0.0,0.015716101974248886,0.015716101974248886,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Jesús Vázquez,4,2024,26987,146,9217,DL,4,83,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Martín Tejón,4,2024,26987,146,11706,Sub,17,7,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Pepelu,4,2024,26987,146,2551,MC,9,90,0,0,1,0.018632126972079277,0.6113616824150085,0.5927295684814453,0,0.3345594108104706,2,1,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Rafa Mir,4,2024,26987,146,2589,MR,8,83,0,0,1,0.015716101974248886,0.015716101974248886,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Thierry Correia,4,2024,26987,146,8058,DR,2,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Yarek Gasiorowski,4,2024,26987,146,12139,DC,3,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Alex Berenguer,4,2024,26995,147,5091,AMR,11,78,0,0,1,0.041874345391988754,0.11574535816907883,0.017652442678809166,0,0.10303111374378204,2,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Ander Herrera,4,2024,26995,147,552,Sub,17,6,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Beñat Prados,4,2024,26995,147,9505,DMC,7,84,0,0,2,0.042708784341812134,0.12827688455581665,0.11062444746494293,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Dani Vivian,4,2024,26995,147,6766,DC,3,90,0,0,1,0.046812545508146286,0.11062444746494293,0.11062444746494293,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Gorka Guruzeta,4,2024,26995,147,7020,Sub,17,6,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Iñaki Williams,4,2024,26995,147,2399,FW,15,84,0,0,0,0.0,0.10965874046087265,0.0677843913435936,0,0.041874345391988754,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Malcom Adu,4,2024,26995,147,10981,Sub,17,12,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
