league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,4,2024,26987,2024-08-17 19:30:00,146,148,Valencia,Barcelona,BAR,VAL,1,2,1.55206,3.48824,True,True,https://understat.com/match/26987
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,4,2024,26995,2024-08-24 17:00:00,148,147,Barcelona,Athletic Club,ATH,BAR,2,1,2.41577,1.09985,True,True,https://understat.com/match/26995
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,4,2024,27004,2024-08-27 19:30:00,145,148,Rayo Vallecano,Barcelona,BAR,RVL,1,2,0.392473,1.51872,True,True,https://understat.com/match/27004
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,4,2024,27012,2024-08-31 15:00:00,148,231,Barcelona,Real Valladolid,VAL,BAR,7,0,4.94022,0.422493,True,True,https://understat.com/match/27012
ESP-La Liga,2425,2024-09-15 Girona-Barcelona,4,2024,27028,2024-09-15 14:15:00,223,148,Girona,Barcelona,BAR,GIR,1,4,1.09568,2.5936,True,True,https://understat.com/match/27028
ESP-La Liga,2425,2024-09-22 Villarreal-Barcelona,4,2024,27037,2024-09-22 16:30:00,154,148,Villarreal,Barcelona,BAR,VIL,1,5,2.39605,4.1937,True,True,https://understat.com/match/27037
ESP-La Liga,2425,2024-09-25 Barcelona-Getafe,4,2024,27043,2024-09-25 19:00:00,148,142,Barcelona,Getafe,GET,BAR,1,0,2.20799,0.929851,True,True,https://understat.com/match/27043
ESP-La Liga,2425,2024-09-28 Osasuna-Barcelona,4,2024,27056,2024-09-28 19:00:00,157,148,Osasuna,Barcelona,BAR,OSA,4,2,2.50067,0.751814,True,True,https://understat.com/match/27056
ESP-La Liga,2425,2024-10-06 Alaves-Barcelona,4,2024,27064,2024-10-06 14:15:00,158,148,Alaves,Barcelona,BAR,ALA,0,3,0.794829,2.49367,True,True,https://understat.com/match/27064
ESP-La Liga,2425,2024-10-20 Barcelona-Sevilla,4,2024,27074,2024-10-20 19:00:00,148,138,Barcelona,Sevilla,SEV,BAR,5,1,4.08528,0.599652,True,True,https://understat.com/match/27074
ESP-La Liga,2425,2024-10-26 Real Madrid-Barcelona,4,2024,27085,2024-10-26 19:00:00,150,148,Real Madrid,Barcelona,BAR,RMA,0,4,1.40359,2.51566,True,True,https://understat.com/match/27085
ESP-La Liga,2425,2024-11-03 Barcelona-Espanyol,4,2024,27101,2024-11-03 15:15:00,148,141,Barcelona,Espanyol,ESP,BAR,3,1,1.94398,0.787359,True,True,https://understat.com/match/27101
ESP-La Liga,2425,2024-11-10 Real Sociedad-Barcelona,4,2024,27108,2024-11-10 20:00:00,140,148,Real Sociedad,Barcelona,BAR,SOC,1,0,1.88518,0.514102,True,True,https://understat.com/match/27108
ESP-La Liga,2425,2024-11-23 Celta Vigo-Barcelona,4,2024,27117,2024-11-23 20:00:00,152,148,Celta Vigo,Barcelona,BAR,CEL,2,2,2.75981,1.93782,True,True,https://understat.com/match/27117
ESP-La Liga,2425,2024-11-30 Barcelona-Las Palmas,4,2024,27122,2024-11-30 13:00:00,148,144,Barcelona,Las Palmas,LPL,BAR,1,2,2.18354,0.599185,True,True,https://understat.com/match/27122
ESP-La Liga,2425,2024-12-03 Mallorca-Barcelona,4,2024,27167,2024-12-03 18:00:00,239,148,Mallorca,Barcelona,BAR,MAL,1,5,0.921728,5.38074,True,True,https://understat.com/match/27167
ESP-La Liga,2425,2024-12-07 Real Betis-Barcelona,4,2024,27139,2024-12-07 15:15:00,153,148,Real Betis,Barcelona,BAR,BET,2,2,2.76257,1.54117,True,True,https://understat.com/match/27139
ESP-La Liga,2425,2024-12-15 Barcelona-Leganes,4,2024,27143,2024-12-15 20:00:00,148,159,Barcelona,Leganes,LEG,BAR,0,1,2.16597,0.77236,True,True,https://understat.com/match/27143
ESP-La Liga,2425,2024-12-21 Barcelona-Atletico Madrid,4,2024,27160,2024-12-21 20:00:00,148,143,Barcelona,Atletico Madrid,ATL,BAR,1,2,3.37424,0.710716,True,True,https://understat.com/match/27160
ESP-La Liga,2425,2025-01-18 Getafe-Barcelona,4,2024,27177,2025-01-18 20:00:00,142,148,Getafe,Barcelona,BAR,GET,1,1,1.16921,3.50383,True,True,https://understat.com/match/27177
ESP-La Liga,2425,2025-01-26 Barcelona-Valencia,4,2024,27184,2025-01-26 20:00:00,148,146,Barcelona,Valencia,VAL,BAR,7,1,4.35875,1.30328,True,True,https://understat.com/match/27184
ESP-La Liga,2425,2025-02-02 Barcelona-Alaves,4,2024,27200,2025-02-02 13:00:00,148,158,Barcelona,Alaves,ALA,BAR,1,0,1.18526,0.126278,True,True,https://understat.com/match/27200
