league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Ferrán Torres,4,2024,26987,2024-08-17 19:30:00,585126,148,6441,666752,Lamine Yamal,0.29734405875205994,0.875,0.624000015258789,56,Left Foot,Open Play,Saved Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Iñigo Martínez,4,2024,26987,2024-08-17 19:30:00,585128,148,2484,666753,Raphinha,0.04228140041232109,0.9119999694824219,0.5,70,,From Corner,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Lamine Yamal,4,2024,26987,2024-08-17 19:30:00,585109,148,11527,666755,Robert Lewandowski,0.08588103950023651,0.8519999694824218,0.4570000076293945,5,Left Foot,Open Play,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Lamine Yamal,4,2024,26987,2024-08-17 19:30:00,585115,148,11527,,,0.06877048313617706,0.795,0.48700000762939455,36,Right Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Lamine Yamal,4,2024,26987,2024-08-17 19:30:00,585120,148,11527,666749,Álex Balde,0.026261771097779274,0.9290000152587891,0.29700000762939455,49,Right Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Lamine Yamal,4,2024,26987,2024-08-17 19:30:00,585122,148,11527,666753,Raphinha,0.43306466937065125,0.899000015258789,0.46099998474121096,45,Right Foot,Open Play,Saved Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc Casadó,4,2024,26987,2024-08-17 19:30:00,585118,148,11151,666749,Álex Balde,0.1116766706109047,0.894000015258789,0.5329999923706055,46,Right Foot,Open Play,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc Casadó,4,2024,26987,2024-08-17 19:30:00,585129,148,11151,,,0.013547062873840332,0.7619999694824219,0.34200000762939453,71,Right Foot,From Corner,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Marc Casadó,4,2024,26987,2024-08-17 19:30:00,585131,148,11151,666758,Gerard Martín,0.3763372600078583,0.9080000305175782,0.49,90,Left Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Pau Cubarsí,4,2024,26987,2024-08-17 19:30:00,585114,148,12005,666754,Ferrán Torres,0.054322801530361176,0.875,0.5279999923706055,27,,Set Piece,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Pedri,4,2024,26987,2024-08-17 19:30:00,585130,148,8935,666753,Raphinha,0.027929967269301414,0.7469999694824219,0.39299999237060546,84,Right Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Raphinha,4,2024,26987,2024-08-17 19:30:00,585113,148,8026,666752,Lamine Yamal,0.01701364479959011,0.7580000305175781,0.28299999237060547,18,Left Foot,Open Play,Saved Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Raphinha,4,2024,26987,2024-08-17 19:30:00,585116,148,8026,,,0.04999781772494316,0.7269999694824218,0.37900001525878907,38,Left Foot,Direct Freekick,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Robert Lewandowski,4,2024,26987,2024-08-17 19:30:00,585121,148,227,666752,Lamine Yamal,0.9050849676132202,0.975,0.5159999847412109,50,Right Foot,Open Play,Goal
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Robert Lewandowski,4,2024,26987,2024-08-17 19:30:00,585123,148,227,,,0.7432776093482971,0.885,0.5,48,Right Foot,,Goal
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Robert Lewandowski,4,2024,26987,2024-08-17 19:30:00,585127,148,227,666750,Marc Casadó,0.12405440211296082,0.8809999847412109,0.46599998474121096,69,Left Foot,Open Play,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Robert Lewandowski,4,2024,26987,2024-08-17 19:30:00,585132,148,227,666757,Pau Victor,0.11583801358938217,0.8859999847412109,0.5929999923706055,93,Left Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Barcelona,Álex Balde,4,2024,26987,2024-08-17 19:30:00,585110,148,9805,666750,Marc Casadó,0.019325271248817444,0.7230000305175781,0.2989999961853027,6,Left Foot,From Corner,Saved Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Duro,4,2024,26987,2024-08-17 19:30:00,585111,146,6637,666735,Pepelu,0.2800687551498413,0.905,0.4809999847412109,14,,From Corner,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Duro,4,2024,26987,2024-08-17 19:30:00,585117,146,6637,666737,Diego López,0.5927295684814453,0.960999984741211,0.47,43,,Open Play,Goal
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Duro,4,2024,26987,2024-08-17 19:30:00,585119,146,6637,666737,Diego López,0.5904216170310974,0.9330000305175781,0.519000015258789,47,Left Foot,Open Play,Blocked Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Hugo Duro,4,2024,26987,2024-08-17 19:30:00,585124,146,6637,666735,Pepelu,0.054490674287080765,0.91,0.515,52,,Set Piece,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Pepelu,4,2024,26987,2024-08-17 19:30:00,585125,146,2551,666737,Diego López,0.018632126972079277,0.764000015258789,0.6869999694824219,53,Right Foot,Open Play,Missed Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Rafa Mir,4,2024,26987,2024-08-17 19:30:00,585112,146,2589,666738,André Almeida,0.015716101974248886,0.7559999847412109,0.295,16,Left Foot,Open Play,Blocked Shot
