league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,4,2024,26987,2024-08-17 19:30:00,146,148,Valencia,Barcelona,BAR,VAL,3,2.5993,2,3.48824,2.74496,1.1928999999999998,7.153846153846154,12,0,0.2743,1,1.55206,1.55206,-1.1928999999999998,14.954545454545455,3
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,4,2024,26995,2024-08-24 17:00:00,148,147,Barcelona,Athletic Club,ATH,BAR,0,0.4659,1,1.09985,0.356575,-2.0591950000000003,19.105263157894736,4,3,2.3457,2,2.41577,2.41577,2.0591950000000003,7.681818181818182,12
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,4,2024,27004,2024-08-27 19:30:00,145,148,Rayo Vallecano,Barcelona,BAR,RVL,3,2.3057,2,1.51872,1.51872,1.126247,9.4,8,0,0.4625,1,0.392473,0.392473,-1.126247,7.852941176470588,7
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,4,2024,27012,2024-08-31 15:00:00,148,231,Barcelona,Real Valladolid,VAL,BAR,0,0.010199999999999999,0,0.422493,0.422493,-4.517727,24.666666666666668,2,3,2.9817,7,4.94022,4.94022,4.517727,6.576923076923077,12
ESP-La Liga,2425,2024-09-15 Girona-Barcelona,4,2024,27028,2024-09-15 14:15:00,223,148,Girona,Barcelona,BAR,GIR,3,2.389,4,2.5936,2.5936,1.49792,9.107142857142858,11,0,0.44289999999999996,1,1.09568,1.09568,-1.49792,13.454545454545455,4
ESP-La Liga,2425,2024-09-22 Villarreal-Barcelona,4,2024,27037,2024-09-22 16:30:00,154,148,Villarreal,Barcelona,BAR,VIL,3,2.403,5,4.1937,3.45042,1.05437,5.647058823529412,10,0,0.4638,1,2.39605,2.39605,-1.05437,18.789473684210527,6
ESP-La Liga,2425,2024-09-25 Barcelona-Getafe,4,2024,27043,2024-09-25 19:00:00,148,142,Barcelona,Getafe,GET,BAR,0,0.4812,0,0.929851,0.929851,-1.2781390000000001,21.9375,2,3,2.3253000000000004,1,2.20799,2.20799,1.2781390000000001,3.8333333333333335,7
ESP-La Liga,2425,2024-09-28 Osasuna-Barcelona,4,2024,27056,2024-09-28 19:00:00,157,148,Osasuna,Barcelona,BAR,OSA,0,0.24459999999999998,2,0.751814,0.751814,-1.005576,6.071428571428571,10,3,2.6434,4,2.50067,1.75739,1.005576,13.44,2
ESP-La Liga,2425,2024-10-06 Alaves-Barcelona,4,2024,27064,2024-10-06 14:15:00,158,148,Alaves,Barcelona,BAR,ALA,3,2.5469999999999997,3,2.49367,2.49367,1.6988409999999998,4.916666666666667,9,0,0.3165,0,0.794829,0.794829,-1.6988409999999998,27.823529411764707,3
ESP-La Liga,2425,2024-10-20 Barcelona-Sevilla,4,2024,27074,2024-10-20 19:00:00,148,138,Barcelona,Sevilla,SEV,BAR,0,0.0351,1,0.599652,0.599652,-2.7423480000000002,14.12,2,3,2.9454,5,4.08528,3.342,2.7423480000000002,6.241379310344827,14
ESP-La Liga,2425,2024-10-26 Real Madrid-Barcelona,4,2024,27085,2024-10-26 19:00:00,150,148,Real Madrid,Barcelona,BAR,RMA,3,2.1338,4,2.51566,2.51566,1.1120700000000001,7.269230769230769,4,0,0.6662000000000001,0,1.40359,1.40359,-1.1120700000000001,8.258064516129032,3
ESP-La Liga,2425,2024-11-03 Barcelona-Espanyol,4,2024,27101,2024-11-03 15:15:00,148,141,Barcelona,Espanyol,ESP,BAR,0,0.5455,1,0.787359,0.787359,-1.156621,21.571428571428573,2,3,2.2470999999999997,3,1.94398,1.94398,1.156621,4.583333333333333,15
ESP-La Liga,2425,2024-11-10 Real Sociedad-Barcelona,4,2024,27108,2024-11-10 20:00:00,140,148,Real Sociedad,Barcelona,BAR,SOC,0,0.40769999999999995,0,0.514102,0.514102,-1.3710780000000002,9.866666666666667,7,3,2.4081,1,1.88518,1.88518,1.3710780000000002,11.176470588235293,7
ESP-La Liga,2425,2024-11-23 Celta Vigo-Barcelona,4,2024,27117,2024-11-23 20:00:00,152,148,Celta Vigo,Barcelona,BAR,CEL,1,0.8954,2,1.93782,1.93782,-0.8219899999999998,13.6875,7,1,1.9016000000000002,2,2.75981,2.75981,0.8219899999999998,11.35483870967742,8
ESP-La Liga,2425,2024-11-30 Barcelona-Las Palmas,4,2024,27122,2024-11-30 13:00:00,148,144,Barcelona,Las Palmas,LPL,BAR,3,0.37270000000000003,2,0.599185,0.599185,-1.584355,20.3125,5,0,2.455,1,2.18354,2.18354,1.584355,5.956521739130435,15
ESP-La Liga,2425,2024-12-03 Mallorca-Barcelona,4,2024,27167,2024-12-03 18:00:00,239,148,Mallorca,Barcelona,BAR,MAL,3,2.9861,5,5.38074,4.63746,3.715732,6.461538461538462,13,0,0.0083,1,0.921728,0.921728,-3.715732,11.26923076923077,3
ESP-La Liga,2425,2024-12-07 Real Betis-Barcelona,4,2024,27139,2024-12-07 15:15:00,153,148,Real Betis,Barcelona,BAR,BET,1,0.5269999999999999,2,1.54117,1.54117,-0.47812999999999994,9.333333333333334,6,1,2.2859,2,2.76257,2.0193,0.47812999999999994,9.131578947368421,4
ESP-La Liga,2425,2024-12-15 Barcelona-Leganes,4,2024,27143,2024-12-15 20:00:00,148,159,Barcelona,Leganes,LEG,BAR,3,0.4246,1,0.77236,0.77236,-1.3936100000000002,17.05,3,0,2.3989,0,2.16597,2.16597,1.3936100000000002,4.2631578947368425,20
ESP-La Liga,2425,2024-12-21 Barcelona-Atletico Madrid,4,2024,27160,2024-12-21 20:00:00,148,143,Barcelona,Atletico Madrid,ATL,BAR,3,0.12530000000000002,2,0.710716,0.710716,-2.663524,22.071428571428573,2,0,2.8058,1,3.37424,3.37424,2.663524,8.566666666666666,17
ESP-La Liga,2425,2025-01-18 Getafe-Barcelona,4,2024,27177,2025-01-18 20:00:00,142,148,Getafe,Barcelona,BAR,GET,1,2.7008,1,3.50383,3.50383,2.3346199999999997,2.9444444444444446,21,1,0.2057,1,1.16921,1.16921,-2.3346199999999997,15.636363636363637,5
ESP-La Liga,2425,2025-01-26 Barcelona-Valencia,4,2024,27184,2025-01-26 20:00:00,148,146,Barcelona,Valencia,VAL,BAR,0,0.11839999999999999,1,1.30328,1.30328,-3.0554699999999997,16.62962962962963,4,3,2.8259,7,4.35875,4.35875,3.0554699999999997,6.0,14
ESP-La Liga,2425,2025-02-02 Barcelona-Alaves,4,2024,27200,2025-02-02 13:00:00,148,158,Barcelona,Alaves,ALA,BAR,0,0.3379,0,0.126278,0.126278,-1.0589819999999999,12.129032258064516,1,3,2.4121,1,1.18526,1.18526,1.0589819999999999,8.0,3
ESP-La Liga,2425,2025-02-09 Sevilla-Barcelona,4,2024,27206,2025-02-09 20:00:00,138,148,Sevilla,Barcelona,BAR,SEV,3,2.1788,4,1.93199,1.93199,1.010561,9.6,11,0,0.5849,1,0.921429,0.921429,-1.010561,14.88888888888889,3
ESP-La Liga,2425,2025-02-17 Barcelona-Rayo Vallecano,4,2024,27214,2025-02-17 20:00:00,148,145,Barcelona,Rayo Vallecano,RVL,BAR,0,0.42040000000000005,0,1.30941,1.30941,-0.7750600000000001,16.59090909090909,2,3,2.4169,1,2.82775,2.08447,0.7750600000000001,8.72,10
ESP-La Liga,2425,2025-02-22 Las Palmas-Barcelona,4,2024,27226,2025-02-22 20:00:00,144,148,Las Palmas,Barcelona,BAR,LPL,3,2.3322,2,1.66486,1.66486,1.233851,8.277777777777779,12,0,0.4536,0,0.431009,0.431009,-1.233851,17.761904761904763,1
ESP-La Liga,2425,2025-03-02 Barcelona-Real Sociedad,4,2024,27232,2025-03-02 15:15:00,148,140,Barcelona,Real Sociedad,SOC,BAR,0,0.0127,0,0.0,0.0,-3.63697,24.444444444444443,0,3,2.9746,4,3.63697,3.63697,3.63697,4.212121212121212,33
ESP-La Liga,2425,2025-03-16 Atletico Madrid-Barcelona,4,2024,27252,2025-03-16 20:00:00,143,148,Atletico Madrid,Barcelona,BAR,ATL,3,2.1636,4,2.16215,2.16215,1.0678,5.333333333333333,11,0,0.6201,2,1.09435,1.09435,-1.0678,17.266666666666666,5
ESP-La Liga,2425,2025-03-27 Barcelona-Osasuna,4,2024,27244,2025-03-27 20:00:00,148,157,Barcelona,Osasuna,OSA,BAR,0,0.011099999999999999,0,0.53356,0.53356,-3.36023,12.363636363636363,1,3,2.9814,3,4.63707,3.89379,3.36023,7.0,14
ESP-La Liga,2425,2025-03-30 Barcelona-Girona,4,2024,27270,2025-03-30 15:15:00,148,223,Barcelona,Girona,GIR,BAR,0,0.16599999999999998,1,0.490847,0.490847,-2.262483,12.083333333333334,2,3,2.7445000000000004,4,2.75333,2.75333,2.262483,7.12,12
ESP-La Liga,2425,2025-04-05 Barcelona-Real Betis,4,2024,27272,2025-04-05 19:00:00,148,153,Barcelona,Real Betis,BET,BAR,1,0.3483,1,0.249939,0.249939,-1.218501,41.2,2,1,2.4378,1,1.46844,1.46844,1.218501,4.709677419354839,12
ESP-La Liga,2425,2025-04-12 Leganes-Barcelona,4,2024,27288,2025-04-12 19:00:00,159,148,Leganes,Barcelona,BAR,LEG,3,1.8188,1,1.10105,1.10105,0.5022500000000001,9.526315789473685,8,0,0.8533999999999999,0,0.5988,0.5988,-0.5022500000000001,15.789473684210526,5
ESP-La Liga,2425,2025-04-19 Barcelona-Celta Vigo,4,2024,27292,2025-04-19 14:15:00,148,152,Barcelona,Celta Vigo,CEL,BAR,0,1.3607,3,2.50499,2.50499,0.6823999999999999,14.695652173913043,2,3,1.4045,4,2.56587,1.82259,-0.6823999999999999,6.703703703703703,16
ESP-La Liga,2425,2025-04-22 Barcelona-Mallorca,4,2024,27305,2025-04-22 19:30:00,148,239,Barcelona,Mallorca,MAL,BAR,0,0.060899999999999996,0,0.326579,0.326579,-3.1079909999999997,17.9,0,3,2.898,1,3.43457,3.43457,3.1079909999999997,3.1515151515151514,22
ESP-La Liga,2425,2025-05-03 Real Valladolid-Barcelona,4,2024,27316,2025-05-03 19:00:00,231,148,Real Valladolid,Barcelona,BAR,VAL,3,2.3689,2,2.21168,2.21168,1.466068,2.5357142857142856,13,0,0.45489999999999997,1,0.745612,0.745612,-1.466068,22.23076923076923,0
ESP-La Liga,2425,2025-05-11 Barcelona-Real Madrid,4,2024,27324,2025-05-11 14:15:00,148,150,Barcelona,Real Madrid,RMA,BAR,0,0.578,3,2.5616,1.81832,-2.2880000000000003,12.166666666666666,2,3,2.2721000000000005,4,4.10632,4.10632,2.2880000000000003,7.1923076923076925,13
ESP-La Liga,2425,2025-05-15 Espanyol-Barcelona,4,2024,27332,2025-05-15 19:30:00,141,148,Espanyol,Barcelona,BAR,ESP,3,0.6825000000000001,2,0.735877,0.735877,-0.7794329999999999,4.76,10,0,2.0679,0,1.51531,1.51531,0.7794329999999999,23.4375,4
ESP-La Liga,2425,2025-05-18 Barcelona-Villarreal,4,2024,27343,2025-05-18 17:00:00,148,154,Barcelona,Villarreal,VIL,BAR,3,1.6946,3,1.96183,1.96183,0.39283,16.333333333333332,5,0,1.0637,2,1.569,1.569,-0.39283,6.862068965517241,16
ESP-La Liga,2425,2025-05-25 Athletic Club-Barcelona,4,2024,27353,2025-05-25 19:00:00,147,148,Athletic Club,Barcelona,BAR,ATH,3,2.8474000000000004,3,3.36402,2.62074,1.8699340000000002,4.708333333333333,6,0,0.0985,0,0.750806,0.750806,-1.8699340000000002,14.555555555555555,4
ESP-La Liga,2526,2025-08-16 Mallorca-Barcelona,4,2025,29160,2025-08-16 17:30:00,239,148,Mallorca,Barcelona,BAR,MAL,3,2.444,3,2.0243,2.0243,1.4950830000000002,4.033333333333333,19,0,0.3698,0,0.529217,0.529217,-1.4950830000000002,19.25,2
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,4,2025,29171,2025-08-23 19:30:00,151,148,Levante,Barcelona,BAR,LEV,3,1.2446,3,2.48128,2.48128,0.53644,4.388888888888889,21,0,1.5374,2,2.68812,1.94484,-0.53644,18.5625,4
ESP-La Liga,2526,2025-08-31 Rayo Vallecano-Barcelona,4,2025,29188,2025-08-31 19:30:00,145,148,Rayo Vallecano,Barcelona,BAR,RVL,1,1.7538,1,2.35774,1.61447,-0.25676999999999994,8.4,4,1,1.008,1,1.87124,1.87124,0.25676999999999994,8.03125,3
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,4,2025,29194,2025-09-14 19:00:00,148,146,Barcelona,Valencia,VAL,BAR,0,0.0227,0,0.12495,0.12495,-3.33527,23.0625,1,3,2.9609,6,3.46022,3.46022,3.33527,6.7,13
ESP-La Liga,2526,2025-09-21 Barcelona-Getafe,4,2025,29199,2025-09-21 19:00:00,148,142,Barcelona,Getafe,GET,BAR,0,0.0664,0,0.215949,0.215949,-2.748341,14.518518518518519,0,3,2.8927,3,2.96429,2.96429,2.748341,8.823529411764707,8
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,4,2025,29213,2025-09-25 19:30:00,289,148,Real Oviedo,Barcelona,BAR,OVI,3,1.8209,3,2.07001,2.07001,0.6198699999999999,4.5,22,0,0.9101,1,1.45014,1.45014,-0.6198699999999999,34.8,4
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,4,2025,29220,2025-09-28 16:30:00,148,140,Barcelona,Real Sociedad,SOC,BAR,0,0.1971,1,0.957079,0.957079,-2.052461,26.384615384615383,5,3,2.7018,2,3.00954,3.00954,2.052461,8.588235294117647,19
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,4,2025,29233,2025-10-05 14:15:00,138,148,Sevilla,Barcelona,BAR,SEV,0,1.0983,1,2.4823,1.73902,-0.4118400000000002,7.476190476190476,10,3,1.6833,4,2.89414,2.15086,0.4118400000000002,9.48,5
ESP-La Liga,2526,2025-10-18 Barcelona-Girona,4,2025,29240,2025-10-18 14:15:00,148,223,Barcelona,Girona,GIR,BAR,0,0.9067,1,1.69375,1.69375,-0.7258299999999998,40.5,7,3,1.8757,2,2.41958,2.41958,0.7258299999999998,8.0,15
ESP-La Liga,2526,2025-10-26 Real Madrid-Barcelona,4,2025,29254,2025-10-26 15:15:00,150,148,Real Madrid,Barcelona,BAR,RMA,0,0.2299,1,1.12434,1.12434,-1.5456,8.38888888888889,8,3,2.6788000000000003,2,3.41322,2.66994,1.5456,15.772727272727273,6
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,4,2025,29260,2025-11-02 17:30:00,148,207,Barcelona,Elche,ELC,BAR,0,0.18109999999999998,1,0.549079,0.549079,-2.2582210000000003,8.607142857142858,4,3,2.7298999999999998,3,2.8073,2.8073,2.2582210000000003,9.4,8
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,4,2025,29274,2025-11-09 20:00:00,152,148,Celta Vigo,Barcelona,BAR,CEL,3,2.8989,4,3.42936,2.68608,2.173827,11.16,8,0,0.0633,2,0.512253,0.512253,-2.173827,14.954545454545455,4
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,4,2025,29284,2025-11-22 15:15:00,148,147,Barcelona,Athletic Club,ATH,BAR,0,0.5819,0,1.04615,1.04615,-1.28307,18.75,5,3,2.2355,4,2.32922,2.32922,1.28307,9.722222222222221,15
