season,date,match_id,competition,venue,opponent,player,avg_x,avg_y,touches
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Unai Hernández,64.689473684211,74.342105263158,19
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Noah Darvich,59.2,29.0125,8
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Marc Bernal,45.423333333333,55.58,60
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Vitor Roque,56.45,59.4,6
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Iñaki Peña,11.873684210526,47.073684210526,19
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Quim Junyent,55.554545454545,70.022727272727,22
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,İlkay Gündoğan,41.9125,51.3125,24
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Raphinha,66.807692307692,17.661538461538,26
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Hector Fort,38.353571428571,17.460714285714,28
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Robert Lewandowski,64.45,60.984615384615,26
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Mikayil Faye,36.671052631579,68.884210526316,38
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Pau Víctor,63.975757575758,23.081818181818,33
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Gerard Martín,39.193939393939,87.981818181818,33
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Marc-André Ter Stegen,10.543333333333,51.123333333333,30
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Andreas Christensen,38.171794871795,36.128205128205,39
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Álex Valle,45.68813559322,14.664406779661,59
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Guillermo Fernández,64.028571428571,61.957142857143,14
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Sergi Domínguez,30.395121951219,27.60487804878,41
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Pablo Torre,63.688461538462,65.423076923077,52
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Marc Casadó,49.508196721311,41.004918032787,61
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Alejandro Balde,59.022916666667,87.7125,48
2425,2024-08-03,12327430,Club Friendly Games,H,Real Madrid,Iñigo Martínez,36.57375,70.3375,80
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Vitor Roque,70.28,43.09,10
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Andrés Cuenca,33.585,37.32,20
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Guillermo Fernández,48.525,59.325,4
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Iñaki Peña,11.966666666667,51.125,12
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Mikayil Faye,45.861111111111,88.327777777778,18
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Toni Fernández,60.033333333333,12.444444444444,9
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Andreas Christensen,49.660606060606,49.663636363636,33
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Marc-André Ter Stegen,14.539393939394,47.372727272727,33
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Quim Junyent,60.458333333333,78.183333333333,36
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Iñigo Martínez,35.323684210526,76.752631578947,38
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Álex Valle,60.402702702703,14.481081081081,37
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,İlkay Gündoğan,56.281578947368,58.526315789474,38
2425,2024-08-06,12327438,Club Friendly Games,H,AC Milan,Jules Koundé,47.815789473684,13.436842105263,38
