season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-08-17 19:30:00,Barcelona,Ferrán Torres,0.2973440587520599,87.5,62.4000015258789,Open Play,Left Foot,saved,56,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Iñigo Martínez,0.042281400412321,91.1999969482422,50.0,From Corner,,blocked,70,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Lamine Yamal,0.0858810395002365,85.19999694824219,45.70000076293945,Open Play,Left Foot,blocked,5,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Lamine Yamal,0.068770483136177,79.5,48.700000762939446,Open Play,Right Foot,missed,36,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Lamine Yamal,0.0262617710977792,92.90000152587892,29.70000076293945,Open Play,Right Foot,missed,49,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Lamine Yamal,0.4330646693706512,89.9000015258789,46.09999847412109,Open Play,Right Foot,saved,45,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Marc Casadó,0.1116766706109047,89.4000015258789,53.29999923706055,Open Play,Right Foot,blocked,46,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Marc Casadó,0.0135470628738403,76.19999694824219,34.200000762939446,From Corner,Right Foot,blocked,71,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Marc Casadó,0.3763372600078583,90.80000305175781,49.0,Open Play,Left Foot,missed,90,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Pau Cubarsí,0.0543228015303611,87.5,52.79999923706055,Set Piece,,missed,27,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Pedri,0.0279299672693014,74.69999694824219,39.29999923706054,Open Play,Right Foot,missed,84,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Raphinha,0.0170136447995901,75.80000305175781,28.29999923706054,Open Play,Left Foot,saved,18,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Raphinha,0.0499978177249431,72.69999694824219,37.9000015258789,Direct Freekick,Left Foot,blocked,38,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Robert Lewandowski,0.9050849676132202,97.5,51.59999847412109,Open Play,Right Foot,goal,50,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Robert Lewandowski,0.7432776093482971,88.5,50.0,,Right Foot,goal,48,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Robert Lewandowski,0.1240544021129608,88.0999984741211,46.599998474121094,Open Play,Left Foot,blocked,69,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Robert Lewandowski,0.1158380135893821,88.5999984741211,59.299999237060554,Open Play,Left Foot,missed,93,understat
2425,La Liga,2024-08-17 19:30:00,Barcelona,Álex Balde,0.0193252712488174,72.30000305175781,29.89999961853027,From Corner,Left Foot,saved,6,understat
