league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,34,0.89,120,86,71.7,20.0,14.0,4.0,13,34.2,3,3,0,0,0.0,
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31.0,1992.0,37,37,3194,35.5,47,1.32,146,99,67.8,18.0,9.0,10.0,8,21.6,2,1,1,0,50.0,
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34.0,1990.0,4,1,226,2.5,6,2.39,14,8,57.1,1.0,0.0,0.0,1,100.0,1,1,0,0,0.0,
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29.0,1994.0,31,31,2790,31.0,39,1.26,136,97,71.3,13.0,7.0,11.0,8,25.8,4,4,0,0,0.0,
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25.0,1999.0,5,5,450,5.0,5,1.0,25,20,80.0,2.0,2.0,1.0,1,20.0,0,0,0,0,,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35.0,1989.0,2,2,180,2.0,2,1.0,13,11,84.6,0.0,2.0,0.0,0,0.0,0,0,0,0,,
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22.0,2001.0,2,1,145,1.6,2,1.24,5,3,60.0,0.0,0.0,1.0,1,100.0,0,0,0,0,,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31.0,1993.0,37,37,3275,36.4,55,1.51,207,152,73.4,16.0,8.0,13.0,8,21.6,1,1,0,0,0.0,
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21.0,2002.0,36,36,3240,36.0,58,1.61,140,89,58.6,14.0,13.0,9.0,7,19.4,9,9,0,0,0.0,
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33.0,1990.0,2,2,180,2.0,1,0.5,4,3,75.0,2.0,0.0,0.0,1,50.0,0,0,0,0,,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22.0,2002.0,6,6,540,6.0,9,1.5,29,20,69.0,3.0,0.0,3.0,1,16.7,1,1,0,0,0.0,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26.0,1997.0,32,32,2880,32.0,34,1.06,128,94,73.4,17.0,9.0,6.0,10,31.3,5,4,1,0,20.0,
