league,season,team,player,nation,pos,age,born,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,1997.0,13.3,,,,,,,17,,,,,,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,19.2,,,,,,,115,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,31.4,,,,,,,161,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,9.9,,,,,,,54,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,6.8,,,,,,,6,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,26.3,,,,,,,9,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,25.4,,,,,,,90,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,2000.0,12.5,,,,,,,2,,,,,,,,
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32.0,1991.0,7.8,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,2001.0,26.9,,,,,,,28,,,,,,,,
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25.0,1999.0,20.8,,,,,,,11,,,,,,,,
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27.0,1997.0,2.9,,,,,,,14,,,,,,,,
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,1994.0,28.3,,,,,,,80,,,,,,,,
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,1998.0,25.8,,,,,,,86,,,,,,,,
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,1996.0,17.6,,,,,,,12,,,,,,,,
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,2006.0,15.2,,,,,,,10,,,,,,,,
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,0.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27.0,1996.0,5.9,,,,,,,13,,,,,,,,
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29.0,1994.0,5.5,,,,,,,16,,,,,,,,
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24.0,1999.0,0.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22.0,2002.0,10.9,,,,,,,11,,,,,,,,
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25.0,1998.0,0.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31.0,1993.0,31.1,,,,,,,12,,,,,,,,
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,2001.0,33.8,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22.0,2001.0,18.0,,,,,,,2,,,,,,,,
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21.0,2003.0,3.5,,,,,,,18,,,,,,,,
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26.0,1998.0,5.4,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24.0,1999.0,19.2,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31.0,1993.0,9.2,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,MF,25.0,1999.0,3.4,,,,,,,8,,,,,,,,
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"FW,MF",27.0,1996.0,1.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31.0,1992.0,35.5,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26.0,1997.0,32.6,,,,,,,5,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22.0,2002.0,12.7,,,,,,,51,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23.0,2001.0,18.0,,,,,,,11,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22.0,2002.0,3.7,,,,,,,4,,,,,,,,
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29.0,1994.0,24.7,,,,,,,60,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20.0,2003.0,7.1,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18.0,2005.0,1.4,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20.0,2004.0,5.3,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26.0,1997.0,12.7,,,,,,,34,,,,,,,,
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31.0,1993.0,26.1,,,,,,,140,,,,,,,,
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28.0,1996.0,8.3,,,,,,,38,,,,,,,,
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,"FW,MF",26.0,1997.0,4.9,,,,,,,28,,,,,,,,
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26.0,1997.0,23.0,,,,,,,40,,,,,,,,
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22.0,2002.0,34.6,,,,,,,28,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28.0,1995.0,28.9,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27.0,1997.0,22.4,,,,,,,4,,,,,,,,
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34.0,1990.0,2.5,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30.0,1993.0,6.5,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31.0,1993.0,12.4,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27.0,1997.0,33.6,,,,,,,118,,,,,,,,
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33.0,1991.0,17.7,,,,,,,33,,,,,,,,
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20.0,2003.0,8.4,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24.0,2000.0,35.6,,,,,,,58,,,,,,,,
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,MF,19.0,2004.0,0.3,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22.0,2002.0,22.3,,,,,,,88,,,,,,,,
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20.0,2003.0,1.3,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,MF,27.0,1997.0,10.7,,,,,,,51,,,,,,,,
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19.0,2005.0,27.0,,,,,,,13,,,,,,,,
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,FW,27.0,1997.0,3.8,,,,,,,4,,,,,,,,
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24.0,1999.0,25.8,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21.0,2002.0,34.5,,,,,,,6,,,,,,,,
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22.0,2002.0,5.0,,,,,,,10,,,,,,,,
