league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,1997.0,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,0,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,19.2,6,67,23,34.3,3.49,1.2,0.07,0.22,1,1
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,31.4,4,48,15,31.3,1.53,0.48,0.08,0.27,0,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,0,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,6.8,3,20,8,40.0,2.96,1.18,0.15,0.38,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,25.4,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,2000.0,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32.0,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,2001.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,0,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25.0,1999.0,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,0,0
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27.0,1997.0,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,0,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,1994.0,28.3,8,72,22,30.6,2.55,0.78,0.11,0.36,0,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,1998.0,25.8,3,49,17,34.7,1.9,0.66,0.04,0.12,1,1
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,1996.0,17.6,7,38,15,39.5,2.16,0.85,0.18,0.47,0,0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,2006.0,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,0,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27.0,1996.0,5.9,0,10,0,0.0,1.71,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29.0,1994.0,5.5,0,11,0,0.0,1.98,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24.0,1999.0,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22.0,2002.0,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,0,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25.0,1998.0,0.1,0,1,0,0.0,12.86,0.0,0.0,,0,0
