league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,defense_90s,defense_tackles_tkl,defense_tackles_tklw,defense_tackles_def_3rd,defense_tackles_mid_3rd,defense_tackles_att_3rd,defense_challenges_tkl,defense_challenges_att,defense_challenges_tkl_pct,defense_challenges_lost,defense_blocks_blocks,defense_blocks_sh,defense_blocks_pass,defense_int,defense_tkl_int,defense_clr,defense_err,gca_90s,gca_sca_sca,gca_sca_sca90,gca_sca_types_passlive,gca_sca_types_passdead,gca_sca_types_to,gca_sca_types_sh,gca_sca_types_fld,gca_sca_types_def,gca_gca_gca,gca_gca_gca90,gca_gca_types_passlive,gca_gca_types_passdead,gca_gca_types_to,gca_gca_types_sh,gca_gca_types_fld,gca_gca_types_def,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_save_pct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cs_pct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_save_pct,keeper_adv_90s,keeper_adv_goals_ga,keeper_adv_goals_pka,keeper_adv_goals_fk,keeper_adv_goals_ck,keeper_adv_goals_og,keeper_adv_expected_psxg,keeper_adv_expected_psxg_sot,keeper_adv_expected_psxg_plusminus,keeper_adv_expected_90,keeper_adv_launched_cmp,keeper_adv_launched_att,keeper_adv_launched_cmp_pct,keeper_adv_passes_att_gk,keeper_adv_passes_thr,keeper_adv_passes_launch_pct,keeper_adv_passes_avglen,keeper_adv_goal_kicks_att,keeper_adv_goal_kicks_launch_pct,keeper_adv_goal_kicks_avglen,keeper_adv_crosses_opp,keeper_adv_crosses_stp,keeper_adv_crosses_stp_pct,keeper_adv_sweeper_opa,keeper_adv_sweeper_opa_90,keeper_adv_sweeper_avgdist,misc_90s,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,passing_90s,passing_total_cmp,passing_total_att,passing_total_cmp_pct,passing_total_totdist,passing_total_prgdist,passing_short_cmp,passing_short_att,passing_short_cmp_pct,passing_medium_cmp,passing_medium_att,passing_medium_cmp_pct,passing_long_cmp,passing_long_att,passing_long_cmp_pct,passing_ast,passing_a_xag,passing_kp,passing_1_3,passing_ppa,passing_crspa,passing_types_90s,passing_types_att,passing_types_pass_types_live,passing_types_pass_types_dead,passing_types_pass_types_fk,passing_types_pass_types_tb,passing_types_pass_types_sw,passing_types_pass_types_crs,passing_types_pass_types_ti,passing_types_pass_types_ck,passing_types_corner_kicks_in,passing_types_corner_kicks_out,passing_types_corner_kicks_str,passing_types_outcomes_cmp,passing_types_outcomes_off,passing_types_outcomes_blocks,playing_time_playing_time_mn_mp,playing_time_playing_time_min_pct,playing_time_starts_starts,playing_time_starts_mn_start,playing_time_starts_compl,playing_time_subs_subs,playing_time_subs_mn_sub,playing_time_subs_unsub,playing_time_team_success_ppm,playing_time_team_success_ong,playing_time_team_success_onga,playing_time_team_success_plusminus,playing_time_team_success_plusminus90,playing_time_team_success_on_off,possession_90s,possession_touches_touches,possession_touches_def_pen,possession_touches_def_3rd,possession_touches_mid_3rd,possession_touches_att_3rd,possession_touches_att_pen,possession_touches_live,possession_take_ons_att,possession_take_ons_succ,possession_take_ons_succ_pct,possession_take_ons_tkld,possession_take_ons_tkld_pct,possession_carries_carries,possession_carries_totdist,possession_carries_prgdist,possession_carries_1_3,possession_carries_cpa,possession_carries_mis,possession_carries_dis,possession_rec,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sot_pct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,us_xg,us_np_xg,us_xa,us_xg_chain,us_xg_buildup,us_shots,us_key_passes,us_np_goals,us_minutes,nineties,season_nineties,multi_club,np_xg_p90,xa_p90,xg_chain_p90,shots_p90,key_passes_p90,box_touches_p90,passes_received_p90,att_3rd_touches_p90,take_ons_succ_p90,prog_carry_dist_p90,prog_pass_dist_p90,carries_final_third_p90,carries_into_box_p90,carries_p90,tackles_p90,tackles_def_3rd_p90,tackles_mid_3rd_p90,tackles_att_3rd_p90,interceptions_p90,blocks_p90,fouls_p90,tackles_won_p90,errors_p90,miscontrols_p90,dispossessed_p90,pass_cmp_pct,long_pass_cmp_pct,challenge_win_pct,np_g_minus_xg,tackle_att3rd_share,tackle_def3rd_share
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,13.3,,15,,,,,,,,,,,16,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,0,10,5,1,17,16,15,,,0,13.3,,,,,,,,,,,,,,,2,,,,,,13.3,,,,,,,17,,,,,,,,,70.0,35.0,13,86.0,10,4,19.0,3,1.47,20.0,13.0,7.0,0.53,-0.61,13.3,,,,,,,,,,,,,,,,,,,,,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,0,0,0.4337807316333055,0.4337807316333055,1.4500398263335228,4.346273209899664,3.896727360785008,9.0,10.0,0.0,1192.0,13.3,13.3,False,0.03261509260400793,0.10902555085214456,0.32678745939095216,0.6766917293233082,0.7518796992481203,,,,,,,,,,,,,,1.2030075187969924,,0.7518796992481203,1.1278195488721805,,,,,,,-0.4337807316333055,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78,19.2,,15,,,,,,,,,,,3,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,0,15,39,7,115,3,15,,,0,19.2,,,,,,,,,,,,,,,10,,,,,,19.2,,,,,,,115,,,,,,,,,69.0,50.6,20,79.0,7,5,32.0,0,1.96,38.0,21.0,17.0,0.88,-0.07,19.2,,,,,,,,,,,,,,,,,,,,,19.2,6,67,23,34.3,3.49,1.2,0.07,0.22,1,1,8.94342190399766,8.182253051549196,11.583731275051832,16.460995193570852,6.0235540214926,67.0,58.0,5.0,1763.0,19.2,19.2,False,0.42615901310152066,0.6033193372422829,0.8573434996651486,3.4895833333333335,3.0208333333333335,,,,,,,,,,,,,,0.15625,,0.78125,0.78125,,,,,,,-3.1822530515491962,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,38.0,,0,,,,,,,,,,,0,,,,38.0,,,,,,,,,,,,,,,,,38.0,34.0,0.89,120.0,86.0,71.7,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,38.0,34.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,38.0,0,1,10,0,0,0,0,,,0,38.0,,,,,,,,,,,,,,,0,,,,,,38.0,,,,,,,0,,,,,,,,,90.0,100.0,38,90.0,38,0,,0,1.95,69.0,34.0,35.0,0.92,,38.0,,,,,,,,,,,,,,,,,,,,,38.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,0.0936360284686088,6.110358167439699,6.01672213897109,0.0,1.0,0.0,3420.0,38.0,38.0,False,0.0,0.0024641060123318107,0.16079889914315,0.0,0.02631578947368421,,,,,,,,,,,,,,0.0,,0.02631578947368421,0.0,,,,,,,0.0,,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,35,33,2825,31.4,4,7,11,4,0,0,7,1,0.13,0.22,0.35,0.13,0.35,31.4,,23,,,,,,,,,,,27,,,,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,1,21,16,2,161,27,23,,,0,31.4,,,,,,,,,,,,,,,7,,,,,,31.4,,,,,,,161,,,,,,,,,81.0,82.6,33,84.0,23,2,23.0,1,1.91,56.0,28.0,28.0,0.89,-0.17,31.4,,,,,,,,,,,,,,,,,,,,,31.4,4,48,15,31.3,1.53,0.48,0.08,0.27,0,0,3.6269928105175495,3.6269928105175495,9.060594327747822,17.24022226035595,10.361034391447902,48.0,59.0,4.0,2848.0,31.4,31.4,False,0.11550932517571814,0.28855395948241475,0.5490516643425462,1.5286624203821657,1.8789808917197452,,,,,,,,,,,,,,0.8598726114649682,,0.6687898089171975,0.7324840764331211,,,,,,,0.3730071894824505,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6,9.9,,6,,,,,,,,,,,3,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,0,10,5,6,54,3,6,,,0,9.9,,,,,,,,,,,,,,,2,,,,,,9.9,,,,,,,54,,,,,,,,,34.0,26.2,11,65.0,1,15,12.0,10,1.85,16.0,4.0,12.0,1.21,0.39,9.9,,,,,,,,,,,,,,,,,,,,,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,0,0,1.7757814601063728,1.7757814601063728,1.1617773352190852,4.733230505138636,2.751387098804116,24.0,16.0,4.0,883.0,9.9,9.9,False,0.17937186465720936,0.11735124598172578,0.478104091428145,2.4242424242424243,1.6161616161616161,,,,,,,,,,,,,,0.30303030303030304,,1.0101010101010102,0.6060606060606061,,,,,,,2.224218539893627,,
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,0.44,0.0,0.44,0.44,0.44,6.8,,6,,,,,,,,,,,5,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,0,14,10,9,6,5,6,,,0,6.8,,,,,,,,,,,,,,,0,,,,,,6.8,,,,,,,6,,,,,,,,,36.0,17.8,6,81.0,2,11,11.0,1,1.94,15.0,5.0,10.0,1.48,0.68,6.8,,,,,,,,,,,,,,,,,,,,,6.8,3,20,8,40.0,2.96,1.18,0.15,0.38,0,0,3.375023730099201,3.375023730099201,0.5535630472004414,4.954094588756561,2.0514997951686382,20.0,8.0,3.0,581.0,6.8,6.8,False,0.4963270191322355,0.08140633047065314,0.7285433218759649,2.9411764705882355,1.1764705882352942,,,,,,,,,,,,,,0.7352941176470589,,2.058823529411765,0.8823529411764706,,,,,,,-0.3750237300992012,,
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,26.3,,15,,,,,,,,,,,16,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,0,19,19,0,9,16,15,,,0,26.3,,,,,,,,,,,,,,,1,,,,,,26.3,,,,,,,9,,,,,,,,,84.0,69.1,28,84.0,25,0,,0,2.04,50.0,22.0,28.0,1.07,0.47,26.3,,,,,,,,,,,,,,,,,,,,,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0,,,,,,,,,,26.3,26.3,False,,,,,,,,,,,,,,,,,,,0.6083650190114068,,0.7224334600760456,0.5703422053231939,,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,0.31,0.16,0.47,0.31,0.47,25.4,,15,,,,,,,,,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,0,16,21,8,90,4,15,,,0,25.4,,,,,,,,,,,,,,,4,,,,,,25.4,,,,,,,90,,,,,,,,,69.0,67.0,25,81.0,10,8,33.0,2,1.94,45.0,25.0,20.0,0.79,-0.41,25.4,,,,,,,,,,,,,,,,,,,,,25.4,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0,9.213460259139538,9.213460259139538,5.264152456074953,16.827736772596836,4.392328556627035,56.0,40.0,8.0,2310.0,25.4,25.4,False,0.3627346558716354,0.2072500966958643,0.662509321755781,2.204724409448819,1.5748031496062993,,,,,,,,,,,,,,0.15748031496062992,,0.6299212598425197,0.5905511811023623,,,,,,,-1.2134602591395378,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,2000.0,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,12.5,,8,,,,,,,,,,,6,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0,10,4,1,2,6,8,,,0,12.5,,,,,,,,,,,,,,,0,,,,,,12.5,,,,,,,2,,,,,,,,,66.0,32.8,10,90.0,10,7,32.0,20,1.82,19.0,15.0,4.0,0.32,-0.89,12.5,,,,,,,,,,,,,,,,,,,,,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0,0.2143479213118553,0.2143479213118553,0.5097704380750656,3.440646205097437,3.275878395885229,3.0,5.0,1.0,1102.0,12.5,12.5,False,0.017147833704948424,0.04078163504600525,0.27525169640779495,0.24,0.4,,,,,,,,,,,,,,0.48,,0.8,0.64,,,,,,,0.7856520786881447,,
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32.0,1991.0,15,9,704,7.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,7.8,,4,,,,,,,,,,,7,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0,15,17,0,1,7,4,,,0,7.8,,,,,,,,,,,,,,,0,,,,,,7.8,,,,,,,1,,,,,,,,,47.0,20.6,9,72.0,3,6,9.0,19,2.0,14.0,7.0,7.0,0.89,-0.03,7.8,,,,,,,,,,,,,,,,,,,,,7.8,0,2,0,0.0,0.26,0.0,0.0,,0,0,0.0592099986970424,0.0592099986970424,0.4611985944211483,4.177355792373419,3.738667394965887,2.0,3.0,0.0,717.0,7.8,7.8,False,0.007591025473979795,0.059128024925788246,0.535558434919669,0.25641025641025644,0.38461538461538464,,,,,,,,,,,,,,0.8974358974358975,,1.9230769230769231,0.5128205128205129,,,,,,,-0.0592099986970424,,
