league,season,team,players_used,90s,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl_int,clr,err,url
ENG-Premier League,2425,Arsenal,25,38,,348,,,,,,,,,,,225,,,,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,,372,,,,,,,,,,,240,,,,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,,399,,,,,,,,,,,351,,,,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,,380,,,,,,,,,,,285,,,,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,,431,,,,,,,,,,,315,,,,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,,371,,,,,,,,,,,272,,,,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,,450,,,,,,,,,,,334,,,,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,,433,,,,,,,,,,,345,,,,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,,411,,,,,,,,,,,302,,,,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,,340,,,,,,,,,,,303,,,,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,,431,,,,,,,,,,,327,,,,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,,391,,,,,,,,,,,299,,,,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,,299,,,,,,,,,,,229,,,,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,,493,,,,,,,,,,,358,,,,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle,24,38,,371,,,,,,,,,,,270,,,,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
