league,season,team,players_used,90s,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_1,expected_90,launched_cmp,launched_att,launched_cmp_1,passes_att_gk,passes_thr,passes_launch,passes_avglen,goal_kicks_att,goal_kicks_launch,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_1,sweeper_opa,sweeper_opa_90,sweeper_avgdist,url
ENG-Premier League,2425,Arsenal,1,38,34,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,2,38,51,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,3,38,46,4,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,2,38,57,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,2,38,59,9,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,2,38,43,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,1,38,51,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,1,38,44,0,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,1,38,54,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,3,38,82,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,3,38,80,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,3,38,41,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,2,38,44,4,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,2,38,54,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle,2,38,47,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nottingham,1,38,46,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,3,38,86,7,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,4,38,65,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,2,38,62,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,4,38,69,7,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
ENG-Premier League,2526,Arsenal,2,38,27,0,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,2,38,49,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,1,38,54,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,2,38,52,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,1,38,46,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,2,38,75,7,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,2,38,54,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,2,38,51,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,1,38,50,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,1,38,51,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,2,38,56,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,3,38,53,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,2,38,35,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,2,38,50,4,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,2,38,55,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,4,38,51,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,2,38,48,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,2,38,57,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
