league,season,team,players_used,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,url
ENG-Premier League,2425,Arsenal,25,38,70,6,3,401,405,80,766,225,348,2.0,3.0,0,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,76,4,2,406,499,55,604,240,372,6.0,3.0,0,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,97,3,0,525,400,70,832,351,399,7.0,4.0,0,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,62,1,0,320,339,63,674,285,380,6.0,1.0,3,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,78,3,2,438,411,46,704,315,431,6.0,9.0,2,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,101,2,1,436,444,65,663,272,371,5.0,6.0,0,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,80,4,3,417,403,74,605,334,450,4.0,2.0,3,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,82,2,1,430,384,81,682,345,433,1.0,2.0,0,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,80,2,0,432,359,43,894,302,411,3.0,4.0,2,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,93,5,4,430,404,52,505,303,340,2.0,6.0,2,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,87,0,0,420,393,63,621,327,431,3.0,4.0,3,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,67,3,1,430,359,60,729,299,391,6.0,2.0,2,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,59,2,1,287,382,45,659,229,299,4.0,4.0,2,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,86,3,1,403,371,69,630,358,493,4.0,4.0,2,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle,24,38,68,1,0,394,450,71,705,270,371,4.0,2.0,2,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
