league,season,team,players_used,age,playing_time_mp,playing_time_min,playing_time_mn_mp,playing_time_min_pct,playing_time_90s,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_plusminus,team_success_plusminus90,url
ENG-Premier League,2425,Arsenal,25,25.8,38,3420,90,100,38,418,83,272,142,18,200,1.95,69,34,35,0.92,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,27.0,38,3420,90,100,38,418,80,246,170,23,170,1.74,58,51,7,0.18,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,25.1,38,3420,90,100,38,418,83,254,162,18,180,1.47,58,46,12,0.32,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,25.8,38,3420,90,100,38,418,85,277,142,15,200,1.47,66,57,9,0.24,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,24.8,38,3420,90,100,38,418,82,231,184,18,158,1.61,66,59,7,0.18,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,23.7,38,3420,90,100,38,418,83,277,140,19,202,1.82,64,43,21,0.55,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,26.2,38,3420,90,100,38,418,83,268,148,18,192,1.39,51,51,0,0.0,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,28.0,38,3420,90,100,38,418,84,286,130,19,211,1.26,42,44,-2,-0.05,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,28.1,38,3420,90,100,38,418,83,239,179,17,163,1.42,54,54,0,0.0,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,25.8,38,3420,90,100,38,418,82,237,178,17,164,0.58,36,82,-46,-1.21,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,26.5,38,3420,90,100,38,418,82,250,168,19,174,0.66,33,80,-47,-1.24,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,27.2,38,3420,90,100,38,418,82,252,165,20,177,2.21,86,41,45,1.18,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,26.8,38,3420,90,100,38,418,85,286,131,16,207,1.87,72,44,28,0.74,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,25.5,38,3420,90,100,38,418,81,256,161,23,180,1.11,44,54,-10,-0.26,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle,24,27.4,38,3420,90,100,38,418,83,254,163,18,179,1.74,68,47,21,0.55,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nottingham,23,26.1,38,3420,90,100,38,418,83,249,167,18,174,1.71,58,46,12,0.32,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,25.2,38,3420,90,100,38,418,80,237,180,22,162,0.32,26,86,-60,-1.58,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,25.0,38,3420,90,100,38,418,82,261,158,22,183,1.0,64,65,-1,-0.03,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,28.1,38,3420,90,100,38,418,81,243,172,22,170,1.13,46,62,-16,-0.42,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,32,26.9,38,3420,90,100,38,418,83,250,167,18,174,1.11,54,69,-15,-0.39,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
ENG-Premier League,2526,Arsenal,25,26.0,38,3420,90,100,38,418,81,254,167,23,175,2.24,71,27,44,1.16,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,28.0,38,3420,90,100,38,418,82,246,175,19,167,1.71,56,49,7,0.18,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,25.0,38,3420,90,100,38,418,83,246,173,17,168,1.5,58,54,4,0.11,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,25.2,38,3420,90,100,38,418,84,281,136,17,206,1.39,55,52,3,0.08,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,28,26.1,38,3420,90,100,38,418,82,242,178,19,164,1.39,52,46,6,0.16,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,28,27.0,38,3420,90,100,38,418,83,242,173,17,168,0.58,38,75,-37,-0.97,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,30,24.1,38,3420,90,100,38,418,80,253,158,24,184,1.37,58,52,6,0.16,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,30,26.2,38,3420,90,100,38,418,83,281,136,20,204,1.18,41,51,-10,-0.26,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,27.3,38,3420,90,100,38,418,85,286,128,15,211,1.29,47,50,-3,-0.08,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,24,28.1,38,3420,90,100,38,418,82,238,180,19,162,1.37,47,51,-4,-0.11,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,26.8,38,3420,90,100,38,418,83,255,164,16,178,1.24,49,56,-7,-0.18,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,26.6,38,3420,90,100,38,418,83,268,151,18,189,1.58,63,53,10,0.26,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,25.4,38,3420,90,100,38,418,83,271,147,19,195,2.05,77,35,42,1.11,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,26.1,38,3420,90,100,38,418,83,267,148,18,194,1.87,69,50,19,0.5,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,26,26.7,38,3420,90,100,38,418,82,245,170,20,172,1.29,53,55,-2,-0.05,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,31,25.9,38,3420,90,100,38,418,82,265,155,21,187,1.16,48,51,-3,-0.08,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,25.3,38,3420,90,100,38,418,83,280,137,20,205,1.42,42,48,-6,-0.16,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,31,25.3,38,3420,90,100,38,418,81,250,165,20,174,1.08,48,57,-9,-0.24,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,32,26.3,38,3420,90,100,38,418,84,281,134,18,208,1.03,46,65,-19,-0.5,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,31,25.8,38,3420,90,100,38,418,82,258,157,20,185,0.53,27,68,-41,-1.08,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
ESP-La Liga,2425,Alavés,29,26.6,38,3420,90,100,38,418,82,254,161,21,275,1.11,38,48,-10,-0.26,/en/squads/8d6fd021/2024-2025/Alaves-Stats
ESP-La Liga,2425,Athletic Club,31,26.9,38,3420,90,100,38,418,80,226,189,23,253,1.84,54,29,25,0.66,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
ESP-La Liga,2425,Atlético Madrid,24,28.4,38,3420,90,100,38,418,78,228,188,27,242,2.0,68,30,38,1.0,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
ESP-La Liga,2425,Barcelona,28,24.7,38,3420,90,100,38,418,80,237,180,22,254,2.32,102,39,63,1.66,/en/squads/206d90db/2024-2025/Barcelona-Stats
ESP-La Liga,2425,Celta Vigo,30,26.8,38,3420,90,100,38,418,79,227,189,23,265,1.45,59,57,2,0.05,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats
ESP-La Liga,2425,Espanyol,27,25.2,38,3420,90,100,38,418,81,238,180,21,270,1.11,40,51,-11,-0.29,/en/squads/a8661628/2024-2025/Espanyol-Stats
ESP-La Liga,2425,Getafe,30,27.7,38,3420,90,100,38,418,81,251,164,21,247,1.11,34,39,-5,-0.13,/en/squads/7848bd64/2024-2025/Getafe-Stats
ESP-La Liga,2425,Girona,30,27.5,38,3420,90,100,38,418,81,245,172,22,249,1.08,44,60,-16,-0.42,/en/squads/9024a00a/2024-2025/Girona-Stats
ESP-La Liga,2425,Las Palmas,34,26.7,38,3420,90,100,38,418,80,226,189,21,246,0.84,40,61,-21,-0.55,/en/squads/0049d422/2024-2025/Las-Palmas-Stats
ESP-La Liga,2425,Leganés,26,27.8,38,3420,90,100,38,418,81,247,167,21,250,1.05,39,56,-17,-0.45,/en/squads/7c6f2c78/2024-2025/Leganes-Stats
ESP-La Liga,2425,Mallorca,28,28.7,38,3420,90,100,38,418,82,233,179,18,260,1.26,35,44,-9,-0.24,/en/squads/2aa12281/2024-2025/Mallorca-Stats
ESP-La Liga,2425,Osasuna,25,27.4,38,3420,90,100,38,418,82,239,183,18,256,1.37,48,52,-4,-0.11,/en/squads/03c57e2b/2024-2025/Osasuna-Stats
ESP-La Liga,2425,Rayo Vallecano,26,29.3,38,3420,90,100,38,418,80,227,188,22,256,1.37,41,45,-4,-0.11,/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats
ESP-La Liga,2425,Real Betis,36,27.5,38,3420,90,100,38,418,80,237,179,22,230,1.58,57,50,7,0.18,/en/squads/fc536746/2024-2025/Real-Betis-Stats
ESP-La Liga,2425,Real Madrid,30,26.6,38,3420,90,100,38,418,83,270,144,18,213,2.21,78,38,40,1.05,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
ESP-La Liga,2425,Real Sociedad,31,25.1,38,3420,90,100,38,418,79,233,181,25,268,1.21,35,46,-11,-0.29,/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats
ESP-La Liga,2425,Sevilla,35,26.1,38,3420,90,100,38,418,82,240,174,18,266,1.08,42,55,-13,-0.34,/en/squads/ad2be733/2024-2025/Sevilla-Stats
ESP-La Liga,2425,Valencia,32,24.6,38,3420,90,100,38,418,82,238,179,19,264,1.21,44,54,-10,-0.26,/en/squads/dcc91a7b/2024-2025/Valencia-Stats
ESP-La Liga,2425,Valladolid,38,25.6,38,3420,90,100,38,418,79,238,177,25,264,0.42,26,90,-64,-1.68,/en/squads/17859612/2024-2025/Valladolid-Stats
ESP-La Liga,2425,Villarreal,31,26.7,38,3420,90,100,38,418,81,239,177,21,179,1.84,71,51,20,0.53,/en/squads/2a8183b3/2024-2025/Villarreal-Stats
ESP-La Liga,2526,Alavés,28,27.3,38,3420,90,100,38,418,81,244,172,23,243,1.13,44,56,-12,-0.32,/en/squads/8d6fd021/2025-2026/Alaves-Stats
ESP-La Liga,2526,Athletic Club,29,27.6,38,3420,90,100,38,418,79,226,189,24,252,1.18,43,58,-15,-0.39,/en/squads/2b390eca/2025-2026/Athletic-Club-Stats
ESP-La Liga,2526,Atlético Madrid,36,27.2,38,3420,90,100,38,418,78,235,184,27,257,1.82,62,44,18,0.47,/en/squads/db3b9613/2025-2026/Atletico-Madrid-Stats
ESP-La Liga,2526,Barcelona,29,24.7,38,3420,90,100,38,418,80,233,184,22,238,2.47,95,36,59,1.55,/en/squads/206d90db/2025-2026/Barcelona-Stats
ESP-La Liga,2526,Celta Vigo,31,26.0,38,3420,90,100,38,418,80,228,190,22,265,1.42,53,48,5,0.13,/en/squads/f25da7fb/2025-2026/Celta-Vigo-Stats
ESP-La Liga,2526,Elche,32,26.8,38,3420,90,100,38,418,81,225,190,19,250,1.13,49,57,-8,-0.21,/en/squads/6c8b07df/2025-2026/Elche-Stats
ESP-La Liga,2526,Espanyol,25,27.4,38,3420,90,100,38,418,81,232,184,20,251,1.21,43,55,-12,-0.32,/en/squads/a8661628/2025-2026/Espanyol-Stats
ESP-La Liga,2526,Getafe,33,28.5,38,3420,90,100,38,418,82,268,145,20,252,1.34,32,38,-6,-0.16,/en/squads/7848bd64/2025-2026/Getafe-Stats
ESP-La Liga,2526,Girona,32,27.3,38,3420,90,100,38,418,81,243,172,22,218,1.08,39,55,-16,-0.42,/en/squads/9024a00a/2025-2026/Girona-Stats
ESP-La Liga,2526,Levante,30,25.9,38,3420,90,100,38,418,81,227,189,20,254,1.11,47,61,-14,-0.37,/en/squads/9800b6a1/2025-2026/Levante-Stats
ESP-La Liga,2526,Mallorca,30,27.8,38,3420,90,100,38,418,82,241,175,18,274,1.11,47,57,-10,-0.26,/en/squads/2aa12281/2025-2026/Mallorca-Stats
ESP-La Liga,2526,Osasuna,24,28.2,38,3420,90,100,38,418,82,241,175,19,197,1.11,44,50,-6,-0.16,/en/squads/03c57e2b/2025-2026/Osasuna-Stats
ESP-La Liga,2526,Oviedo,31,28.0,38,3420,90,100,38,418,80,224,186,21,250,0.76,26,60,-34,-0.89,/en/squads/ab358912/2025-2026/Oviedo-Stats
ESP-La Liga,2526,Rayo Vallecano,28,28.9,38,3420,90,100,38,418,80,224,188,21,246,1.32,41,44,-3,-0.08,/en/squads/98e8af82/2025-2026/Rayo-Vallecano-Stats
ESP-La Liga,2526,Real Betis,29,27.8,38,3420,90,100,38,418,81,254,163,22,253,1.58,59,48,11,0.29,/en/squads/fc536746/2025-2026/Real-Betis-Stats
ESP-La Liga,2526,Real Madrid,35,25.3,38,3420,90,100,38,418,81,243,171,21,250,2.26,77,35,42,1.11,/en/squads/53a2f082/2025-2026/Real-Madrid-Stats
