league,season,team,players_used,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt,url
ENG-Premier League,2425,Arsenal,25,38,67,544,178,32.7,14.32,4.68,0.12,0.37,2,2,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,56,478,159,33.3,12.58,4.18,0.12,0.34,3,6,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,57,574,192,33.4,15.11,5.05,0.1,0.29,6,7,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,65,434,173,39.9,11.42,4.55,0.15,0.36,5,6,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,64,526,183,34.8,13.84,4.82,0.12,0.34,7,7,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,61,590,203,34.4,15.53,5.34,0.1,0.29,4,5,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,49,512,175,34.2,13.47,4.61,0.09,0.27,3,4,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,39,404,139,34.4,10.63,3.66,0.1,0.28,2,2,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,53,516,167,32.4,13.58,4.39,0.1,0.31,3,4,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,35,374,120,32.1,9.84,3.16,0.09,0.29,2,2,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,33,332,105,31.6,8.74,2.76,0.1,0.31,2,3,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,85,639,215,33.6,16.82,5.66,0.13,0.38,9,9,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,71,603,208,34.5,15.87,5.47,0.12,0.33,3,4,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
