league,season,team,player,nation,pos,age,born,90s,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_plusminus,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist
INT-World Cup,2026,Algeria,Luca Zidane,Algeria,GK,28,1998,3.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Algeria,Oussama Benbot,Algeria,GK,31,1994,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Argentina,Emiliano Martínez,Argentina,GK,33,1992,9.0,8,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Australia,Mathew Ryan,Australia,GK,34,1992,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Australia,Patrick Beach,Australia,GK,22,2003,4.3,3,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Austria,Alexander Schlager,Austria,GK,30,1996,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Belgium,Senne Lammens,Belgium,GK,23,2002,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Belgium,Thibaut Courtois,Belgium,GK,34,1992,6.1,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Bosnia–Herz,Nikola Vasilj,Bosnia–Herz,GK,30,1995,4.0,8,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Brazil,Alisson,Brazil,GK,33,1992,5.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Cabo Verde,Vozinha,Cabo Verde,GK,40,1986,4.3,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Canada,Maxime Crépeau,Canada,GK,32,1994,5.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Colombia,Camilo Vargas,Colombia,GK,37,1989,5.3,1,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Congo DR,Lionel Mpasi,Congo DR,GK,31,1994,4.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Croatia,Dominik Livaković,Croatia,GK,31,1995,4.0,7,2,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Curaçao,Eloy Room,Curaçao,GK,37,1989,3.0,9,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Czechia,Matej Kovar,Czechia,GK,26,2000,3.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Côte d'Ivoire,Yahia Fofana,Côte d'Ivoire,GK,25,2000,4.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Ecuador,Hernán Galíndez,Ecuador,GK,39,1987,4.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Egypt,Mostafa Shobeir,Egypt,GK,26,2000,5.3,7,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,England,Dean Henderson,England,GK,29,1997,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,England,Jordan Pickford,England,GK,32,1994,7.3,8,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,France,Mike Maignan,France,GK,30,1995,8.0,10,2,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Germany,Manuel Neuer,Germany,GK,40,1986,4.3,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Ghana,Benjamin Asare,Ghana,GK,33,1992,2.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Ghana,Lawrence Ati-Zigi,Ghana,GK,29,1996,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Haiti,Johny Placide,Haiti,GK,38,1988,3.0,8,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,IR Iran,Alireza Beiranvand,IR Iran,GK,33,1992,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
