league,season,team,player,nation,pos,age,born,90s,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,a_xag,kp,1_3,ppa,crspa
INT-World Cup,2026,Algeria,Adil Boulbina,Algeria,FW,23,2003,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Amine Gouiri,Algeria,FW,26,2000,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Anis Hadj Moussa,Algeria,MF,24,2002,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Aïssa Mandi,Algeria,DF,34,1991,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Fares Chaïbi,Algeria,MF,23,2002,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Farés Ghedjemis,Algeria,"FW,MF",23,2002,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Hicham Boudaoui,Algeria,MF,26,1999,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Houssem Aouar,Algeria,MF,27,1998,1.9,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Algeria,Ibrahim Maza,Algeria,"MF,FW",20,2005,3.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Jaouen Hadjam,Algeria,DF,23,2003,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Luca Zidane,Algeria,GK,28,1998,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Mohamed Amoura,Algeria,"FW,MF",26,2000,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Nabil Bentaleb,Algeria,MF,31,1994,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Nadhir Benbouali,Algeria,FW,26,2000,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Oussama Benbot,Algeria,GK,31,1994,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Rafik Belghali,Algeria,DF,24,2002,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Ramiz Zerrouki,Algeria,MF,28,1998,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Ramy Bensebaini,Algeria,DF,31,1995,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Rayan Aït-Nouri,Algeria,DF,25,2001,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Riyad Mahrez,Algeria,MF,35,1991,2.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Algeria,Samir Chergui,Algeria,DF,27,1999,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Algeria,Zineddine Belaïd,Algeria,DF,27,1999,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Argentina,Alexis Mac Allister,Argentina,MF,27,1998,8.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Argentina,Cristian Romero,Argentina,DF,28,1998,6.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Argentina,Emiliano Martínez,Argentina,GK,33,1992,9.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Argentina,Enzo Fernández,Argentina,MF,25,2001,7.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Argentina,Exequiel Palacios,Argentina,DF,27,1998,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Argentina,Facundo Medina,Argentina,DF,27,1999,3.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Argentina,Flaco López,Argentina,FW,25,2000,0.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Argentina,Giovani Lo Celso,Argentina,MF,30,1996,0.7,,,,,,,,,,,,,,,0,,,,,
