date,match_id,round,match,team,opponent,player,xg,xgot,x,y,shot_type,goal_type,situation,body_part,minute,outcome
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Raúl Jiménez,0.51199853420258,0.97750174999237,4.6,47.0,goal,regular,open_play,head,67,goal
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Israel Reyes,0.013926075771451,0.0,11.8,59.4,miss,,set_piece,head,58,missed
2026-06-11,15186710,,Mexico v South Africa,South Africa,Mexico,Aubrey Modiba,0.016079094260931,0.052785258740187,30.1,34.0,save,,open_play,left-foot,56,saved
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Jesús Gallardo,0.023343414068222,0.0,8.2,30.6,miss,,set_piece,left-foot,52,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Raúl Jiménez,0.17581216990948,0.0,18.1,54.0,block,,free_kick,right-foot,52,blocked
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Julián Quiñones,0.015745768323541,0.028136532753706,40.5,29.5,save,,open_play,right-foot,48,saved
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Brian Gutiérrez,0.026367733255029,0.0,22.5,66.0,miss,,open_play,right-foot,46,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Brian Gutiérrez,0.097016051411629,0.0,11.1,38.3,miss,,open_play,right-foot,45,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Jesús Gallardo,0.011741313152015,0.0,30.5,36.4,block,,open_play,left-foot,45,blocked
2026-06-11,15186710,,Mexico v South Africa,South Africa,Mexico,Mbekezeli Mbokazi,0.013625109568238,0.075887434184551,32.0,46.4,save,,corner,left-foot,45,saved
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Julián Quiñones,0.11445510387421,0.0,13.5,55.4,post,,open_play,right-foot,42,post
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Julián Quiñones,0.018801348283887,0.0,24.9,55.0,block,,open_play,right-foot,42,blocked
2026-06-11,15186710,,Mexico v South Africa,South Africa,Mexico,Lyle Foster,0.042823750525713,0.0,10.8,57.9,miss,,open_play,head,37,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Brian Gutiérrez,0.034975919872522,0.0,15.2,37.0,block,,open_play,right-foot,30,blocked
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Julián Quiñones,0.025622859597206,0.0,25.6,65.8,miss,,open_play,right-foot,19,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Raúl Jiménez,0.069049417972565,0.0,8.5,51.1,miss,,corner,head,13,missed
2026-06-11,15186710,,Mexico v South Africa,Mexico,South Africa,Julián Quiñones,0.19544583559036,0.098098009824753,15.6,43.6,goal,regular,open_play,right-foot,9,goal
