league,season,team,players_used,90s,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl_int,clr,err,url
INT-World Cup,2026,Algeria,22,4.0,,44,,,,,,,,,,,30,,,,/en/squads/1e2dba57/Algeria-Men-Stats
INT-World Cup,2026,Argentina,24,9.0,,93,,,,,,,,,,,82,,,,/en/squads/f9fddd6e/Argentina-Men-Stats
INT-World Cup,2026,Australia,23,4.3,,34,,,,,,,,,,,29,,,,/en/squads/b90bf4f9/Australia-Men-Stats
INT-World Cup,2026,Austria,20,4.0,,29,,,,,,,,,,,41,,,,/en/squads/d5121f10/Austria-Men-Stats
INT-World Cup,2026,Belgium,23,6.3,,47,,,,,,,,,,,50,,,,/en/squads/361422b9/Belgium-Men-Stats
INT-World Cup,2026,Bosnia–Herz,23,4.0,,37,,,,,,,,,,,34,,,,/en/squads/6c5ef1c3/Bosnia-and-Herzegovina-Men-Stats
INT-World Cup,2026,Brazil,22,5.0,,46,,,,,,,,,,,48,,,,/en/squads/304635c3/Brazil-Men-Stats
INT-World Cup,2026,Cabo Verde,21,4.3,,45,,,,,,,,,,,52,,,,/en/squads/31fa6fa6/Cabo-Verde-Men-Stats
INT-World Cup,2026,Canada,22,5.0,,51,,,,,,,,,,,36,,,,/en/squads/9c6d90a0/Canada-Men-Stats
INT-World Cup,2026,Colombia,21,5.3,,33,,,,,,,,,,,38,,,,/en/squads/ab73cfe5/Colombia-Men-Stats
INT-World Cup,2026,Congo DR,21,4.0,,41,,,,,,,,,,,22,,,,/en/squads/9be9f315/Congo-DR-Men-Stats
INT-World Cup,2026,Croatia,19,4.0,,32,,,,,,,,,,,25,,,,/en/squads/7b08e376/Croatia-Men-Stats
INT-World Cup,2026,Curaçao,22,3.0,,26,,,,,,,,,,,39,,,,/en/squads/e0f5893a/Curacao-Men-Stats
INT-World Cup,2026,Czechia,21,3.0,,19,,,,,,,,,,,19,,,,/en/squads/2740937c/Czechia-Men-Stats
INT-World Cup,2026,Côte d'Ivoire,22,4.0,,48,,,,,,,,,,,40,,,,/en/squads/24772b12/Cote-dIvoire-Men-Stats
INT-World Cup,2026,Ecuador,21,4.0,,49,,,,,,,,,,,38,,,,/en/squads/123acaf8/Ecuador-Men-Stats
INT-World Cup,2026,Egypt,21,5.3,,54,,,,,,,,,,,44,,,,/en/squads/b8889750/Egypt-Men-Stats
INT-World Cup,2026,England,24,8.3,,77,,,,,,,,,,,51,,,,/en/squads/1862c019/England-Men-Stats
INT-World Cup,2026,France,22,8.0,,77,,,,,,,,,,,65,,,,/en/squads/b1b36dcd/France-Men-Stats
INT-World Cup,2026,Germany,23,4.3,,53,,,,,,,,,,,25,,,,/en/squads/c1e40422/Germany-Men-Stats
INT-World Cup,2026,Ghana,22,4.0,,40,,,,,,,,,,,31,,,,/en/squads/9349828d/Ghana-Men-Stats
INT-World Cup,2026,Haiti,18,3.0,,28,,,,,,,,,,,29,,,,/en/squads/61828292/Haiti-Men-Stats
INT-World Cup,2026,IR Iran,20,3.0,,36,,,,,,,,,,,32,,,,/en/squads/6a08f71e/IR-Iran-Men-Stats
INT-World Cup,2026,Iraq,25,3.0,,35,,,,,,,,,,,23,,,,/en/squads/ec843efd/Iraq-Men-Stats
INT-World Cup,2026,Japan,24,4.0,,32,,,,,,,,,,,19,,,,/en/squads/ffcf1690/Japan-Men-Stats
INT-World Cup,2026,Jordan,20,3.0,,31,,,,,,,,,,,33,,,,/en/squads/3e22f0fa/Jordan-Men-Stats
INT-World Cup,2026,Korea Republic,20,3.0,,23,,,,,,,,,,,20,,,,/en/squads/473f0fbf/Korea-Republic-Men-Stats
INT-World Cup,2026,Mexico,25,5.0,,32,,,,,,,,,,,36,,,,/en/squads/b009a548/Mexico-Men-Stats
INT-World Cup,2026,Morocco,23,6.3,,61,,,,,,,,,,,40,,,,/en/squads/af41ccda/Morocco-Men-Stats
INT-World Cup,2026,Netherlands,22,4.3,,27,,,,,,,,,,,36,,,,/en/squads/5bb5024a/Netherlands-Men-Stats
INT-World Cup,2026,New Zealand,17,3.0,,21,,,,,,,,,,,24,,,,/en/squads/259855f0/New-Zealand-Men-Stats
INT-World Cup,2026,Norway,25,6.3,,67,,,,,,,,,,,44,,,,/en/squads/599eba19/Norway-Men-Stats
INT-World Cup,2026,Panama,20,3.0,,27,,,,,,,,,,,15,,,,/en/squads/6061a82d/Panama-Men-Stats
INT-World Cup,2026,Paraguay,24,5.3,,88,,,,,,,,,,,53,,,,/en/squads/d2043442/Paraguay-Men-Stats
INT-World Cup,2026,Portugal,22,5.0,,39,,,,,,,,,,,30,,,,/en/squads/4a1b4ea8/Portugal-Men-Stats
INT-World Cup,2026,Qatar,22,3.0,,24,,,,,,,,,,,25,,,,/en/squads/9b696ed1/Qatar-Men-Stats
INT-World Cup,2026,Saudi Arabia,18,3.0,,36,,,,,,,,,,,29,,,,/en/squads/6e84edac/Saudi-Arabia-Men-Stats
INT-World Cup,2026,Scotland,20,3.0,,25,,,,,,,,,,,17,,,,/en/squads/602d3994/Scotland-Men-Stats
INT-World Cup,2026,Senegal,22,4.3,,29,,,,,,,,,,,31,,,,/en/squads/9ab5c684/Senegal-Men-Stats
INT-World Cup,2026,South Africa,19,4.0,,38,,,,,,,,,,,47,,,,/en/squads/506f1741/South-Africa-Men-Stats
INT-World Cup,2026,Spain,22,8.3,,88,,,,,,,,,,,64,,,,/en/squads/b561dd30/Spain-Men-Stats
INT-World Cup,2026,Sweden,22,4.0,,30,,,,,,,,,,,31,,,,/en/squads/296f69e7/Sweden-Men-Stats
INT-World Cup,2026,Switzerland,23,6.7,,52,,,,,,,,,,,52,,,,/en/squads/81021a70/Switzerland-Men-Stats
INT-World Cup,2026,Tunisia,20,3.0,,36,,,,,,,,,,,27,,,,/en/squads/a7c7562a/Tunisia-Men-Stats
INT-World Cup,2026,Türkiye,23,3.0,,39,,,,,,,,,,,18,,,,/en/squads/ac6bcf92/Turkiye-Men-Stats
INT-World Cup,2026,USA,24,5.0,,42,,,,,,,,,,,60,,,,/en/squads/0f66725b/United-States-Men-Stats
INT-World Cup,2026,Uruguay,17,3.0,,25,,,,,,,,,,,32,,,,/en/squads/870e020f/Uruguay-Men-Stats
INT-World Cup,2026,Uzbekistan,23,3.0,,39,,,,,,,,,,,33,,,,/en/squads/cd389e75/Uzbekistan-Men-Stats
