league,season,team,players_used,age,playing_time_mp,playing_time_min,playing_time_mn_mp,playing_time_min_pct,playing_time_90s,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_plusminus,team_success_plusminus90,url
INT-World Cup,2026,Algeria,22,27.3,4,360,90,100,4.0,44,81,25,19,21,37,1.0,5,9,-4,-1.0,/en/squads/1e2dba57/Algeria-Men-Stats
INT-World Cup,2026,Argentina,24,29.6,8,810,101,100,9.0,88,87,45,42,30,78,2.63,19,8,11,1.22,/en/squads/f9fddd6e/Argentina-Men-Stats
INT-World Cup,2026,Australia,23,25.3,4,390,98,100,4.3,44,85,25,19,28,37,1.25,3,3,0,0.0,/en/squads/b90bf4f9/Australia-Men-Stats
INT-World Cup,2026,Austria,20,28.8,4,360,90,100,4.0,44,77,24,20,28,40,1.0,6,9,-3,-0.75,/en/squads/d5121f10/Austria-Men-Stats
INT-World Cup,2026,Belgium,23,29.2,6,570,95,100,6.3,66,81,34,31,28,50,1.83,14,7,7,1.11,/en/squads/361422b9/Belgium-Men-Stats
INT-World Cup,2026,Bosnia–Herz,23,26.6,4,360,90,100,4.0,44,79,23,20,24,39,1.0,5,8,-3,-0.75,/en/squads/6c5ef1c3/Bosnia-and-Herzegovina-Men-Stats
INT-World Cup,2026,Brazil,22,29.2,5,450,90,100,5.0,55,80,32,23,23,47,2.0,10,4,6,1.2,/en/squads/304635c3/Brazil-Men-Stats
INT-World Cup,2026,Cabo Verde,21,30.8,4,390,98,100,4.3,44,84,23,21,28,37,0.75,4,5,-1,-0.23,/en/squads/31fa6fa6/Cabo-Verde-Men-Stats
INT-World Cup,2026,Canada,22,26.9,5,450,90,100,5.0,55,80,30,25,22,45,1.4,9,6,3,0.6,/en/squads/9c6d90a0/Canada-Men-Stats
INT-World Cup,2026,Colombia,21,30.0,5,480,96,100,5.3,55,86,33,22,25,53,2.2,5,1,4,0.75,/en/squads/ab73cfe5/Colombia-Men-Stats
INT-World Cup,2026,Congo DR,21,28.8,4,360,90,100,4.0,44,82,24,20,19,40,1.0,5,5,0,0.0,/en/squads/9be9f315/Congo-DR-Men-Stats
INT-World Cup,2026,Croatia,19,29.1,4,360,90,100,4.0,44,82,26,18,20,42,1.5,6,7,-1,-0.25,/en/squads/7b08e376/Croatia-Men-Stats
INT-World Cup,2026,Curaçao,22,28.9,3,270,90,100,3.0,33,84,20,13,15,32,0.33,1,9,-8,-2.67,/en/squads/e0f5893a/Curacao-Men-Stats
INT-World Cup,2026,Czechia,21,27.8,3,270,90,100,3.0,33,80,20,14,22,29,0.33,2,6,-4,-1.33,/en/squads/2740937c/Czechia-Men-Stats
INT-World Cup,2026,Côte d'Ivoire,22,25.5,4,360,90,100,4.0,44,82,24,20,18,40,1.5,5,4,1,0.25,/en/squads/24772b12/Cote-dIvoire-Men-Stats
INT-World Cup,2026,Ecuador,21,26.8,4,360,90,100,4.0,44,81,25,18,23,42,1.0,2,4,-2,-0.5,/en/squads/123acaf8/Ecuador-Men-Stats
INT-World Cup,2026,Egypt,21,29.3,5,480,96,100,5.3,55,85,31,25,24,43,1.2,8,7,1,0.19,/en/squads/b8889750/Egypt-Men-Stats
INT-World Cup,2026,England,24,26.5,8,750,94,100,8.3,88,84,48,39,20,75,2.38,20,12,8,0.96,/en/squads/1862c019/England-Men-Stats
INT-World Cup,2026,France,22,26.9,8,720,90,100,8.0,88,83,55,33,20,87,2.25,20,10,10,1.25,/en/squads/b1b36dcd/France-Men-Stats
INT-World Cup,2026,Germany,23,28.1,4,390,98,100,4.3,44,84,23,21,29,36,1.75,11,5,6,1.38,/en/squads/c1e40422/Germany-Men-Stats
INT-World Cup,2026,Ghana,22,27.4,4,360,90,100,4.0,44,79,26,19,25,40,1.0,2,3,-1,-0.25,/en/squads/9349828d/Ghana-Men-Stats
