league,season,team,players_used,poss,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_1_3,carries_cpa,carries_mis,carries_dis,rec,url
INT-World Cup,2026,Algeria,22,61.0,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/1e2dba57/Algeria-Men-Stats
INT-World Cup,2026,Argentina,24,57.6,9.0,,,,,,,,,,,,,,,,,,,,,/en/squads/f9fddd6e/Argentina-Men-Stats
INT-World Cup,2026,Australia,23,41.0,4.3,,,,,,,,,,,,,,,,,,,,,/en/squads/b90bf4f9/Australia-Men-Stats
INT-World Cup,2026,Austria,20,45.0,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/d5121f10/Austria-Men-Stats
INT-World Cup,2026,Belgium,23,51.2,6.3,,,,,,,,,,,,,,,,,,,,,/en/squads/361422b9/Belgium-Men-Stats
INT-World Cup,2026,Bosnia–Herz,23,46.0,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/6c5ef1c3/Bosnia-and-Herzegovina-Men-Stats
INT-World Cup,2026,Brazil,22,53.0,5.0,,,,,,,,,,,,,,,,,,,,,/en/squads/304635c3/Brazil-Men-Stats
INT-World Cup,2026,Cabo Verde,21,37.3,4.3,,,,,,,,,,,,,,,,,,,,,/en/squads/31fa6fa6/Cabo-Verde-Men-Stats
INT-World Cup,2026,Canada,22,54.4,5.0,,,,,,,,,,,,,,,,,,,,,/en/squads/9c6d90a0/Canada-Men-Stats
INT-World Cup,2026,Colombia,21,57.8,5.3,,,,,,,,,,,,,,,,,,,,,/en/squads/ab73cfe5/Colombia-Men-Stats
INT-World Cup,2026,Congo DR,21,40.0,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/9be9f315/Congo-DR-Men-Stats
INT-World Cup,2026,Croatia,19,49.8,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/7b08e376/Croatia-Men-Stats
INT-World Cup,2026,Curaçao,22,32.3,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/e0f5893a/Curacao-Men-Stats
INT-World Cup,2026,Czechia,21,42.7,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/2740937c/Czechia-Men-Stats
INT-World Cup,2026,Côte d'Ivoire,22,49.8,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/24772b12/Cote-dIvoire-Men-Stats
INT-World Cup,2026,Ecuador,21,55.8,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/123acaf8/Ecuador-Men-Stats
INT-World Cup,2026,Egypt,21,51.4,5.3,,,,,,,,,,,,,,,,,,,,,/en/squads/b8889750/Egypt-Men-Stats
INT-World Cup,2026,England,24,54.1,8.3,,,,,,,,,,,,,,,,,,,,,/en/squads/1862c019/England-Men-Stats
INT-World Cup,2026,France,22,55.9,8.0,,,,,,,,,,,,,,,,,,,,,/en/squads/b1b36dcd/France-Men-Stats
INT-World Cup,2026,Germany,23,65.0,4.3,,,,,,,,,,,,,,,,,,,,,/en/squads/c1e40422/Germany-Men-Stats
INT-World Cup,2026,Ghana,22,36.3,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/9349828d/Ghana-Men-Stats
INT-World Cup,2026,Haiti,18,42.7,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/61828292/Haiti-Men-Stats
INT-World Cup,2026,IR Iran,20,39.0,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/6a08f71e/IR-Iran-Men-Stats
INT-World Cup,2026,Iraq,25,38.3,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/ec843efd/Iraq-Men-Stats
INT-World Cup,2026,Japan,24,46.3,4.0,,,,,,,,,,,,,,,,,,,,,/en/squads/ffcf1690/Japan-Men-Stats
INT-World Cup,2026,Jordan,20,30.7,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/3e22f0fa/Jordan-Men-Stats
INT-World Cup,2026,Korea Republic,20,63.0,3.0,,,,,,,,,,,,,,,,,,,,,/en/squads/473f0fbf/Korea-Republic-Men-Stats
INT-World Cup,2026,Mexico,25,52.2,5.0,,,,,,,,,,,,,,,,,,,,,/en/squads/b009a548/Mexico-Men-Stats
INT-World Cup,2026,Morocco,23,59.0,6.3,,,,,,,,,,,,,,,,,,,,,/en/squads/af41ccda/Morocco-Men-Stats
