,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38.0,34,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31.0,1992.0,35.5,47,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34.0,1990.0,2.5,6,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29.0,1994.0,31.0,39,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25.0,1999.0,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35.0,1989.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22.0,2001.0,1.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31.0,1993.0,36.4,55,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21.0,2002.0,36.0,58,9,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33.0,1990.0,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22.0,2002.0,6.0,9,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26.0,1997.0,32.0,34,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27.0,1997.0,38.0,51,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30.0,1994.0,38.0,44,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32.0,1992.0,38.0,54,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27.0,1996.0,13.0,30,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25.0,1998.0,18.0,33,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28.0,1995.0,7.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31.0,1993.0,1.5,6,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Jakub Stolarczyk,POL,GK,23.0,2000.0,10.0,16,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24.0,2000.0,26.5,58,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,31.0,1992.0,27.9,29,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,25.0,1998.0,10.0,12,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23.0,2001.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Ederson Moraes,BRA,GK,30.0,1993.0,25.8,26,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,31.0,1992.0,12.2,18,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,Altay Bayındır,TUR,GK,26.0,1998.0,4.0,10,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28.0,1996.0,34.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Newcastle,Martin Dúbravka,SVK,GK,35.0,1989.0,10.0,12,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Newcastle,Nick Pope,ENG,GK,32.0,1992.0,28.0,35,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Nottingham,Matz Sels,BEL,GK,32.0,1992.0,38.0,46,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26.0,1998.0,30.0,66,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,34.0,1989.0,5.0,13,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29.0,1995.0,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,21.0,2003.0,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25.0,1999.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36.0,1988.0,7.0,15,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27.0,1996.0,24.0,37,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31.0,1993.0,25.1,41,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39.0,1985.0,12.9,21,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31.0,1993.0,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31.0,1993.0,29.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31.0,1993.0,7.0,17,2,,,,,,,,,,,,,,,,,,,,,,,
