,,,players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url,Playing Time
,,,Unnamed: 3_level_1,MP,Starts,Min,Unnamed: 7_level_1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Unnamed: 23_level_1,90s
league,season,team,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,1,38,38,3420,38.0,34,0.89,120,86,71.7,20,14,4,13,34.2,3,3,0,0,0.0,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,
ENG-Premier League,2425,Aston Villa,2,38,38,3420,38.0,51,1.34,156,104,67.3,19,9,10,9,23.7,3,2,1,0,33.3,/en/squads/8602292d/2024-2025/Aston-Villa-Stats,
ENG-Premier League,2425,Bournemouth,3,38,38,3420,38.0,46,1.21,172,126,73.3,15,11,12,9,23.7,4,4,0,0,0.0,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats,
ENG-Premier League,2425,Brentford,2,38,38,3420,38.0,57,1.5,207,153,72.5,16,8,14,8,21.1,1,1,0,0,0.0,/en/squads/cd051869/2024-2025/Brentford-Stats,
ENG-Premier League,2425,Brighton,2,38,38,3420,38.0,59,1.55,147,90,59.9,16,13,9,8,21.1,9,9,0,0,0.0,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats,
ENG-Premier League,2425,Chelsea,2,38,38,3420,38.0,43,1.13,155,111,72.3,20,9,9,11,28.9,6,5,1,0,16.7,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,
ENG-Premier League,2425,Crystal Palace,1,38,38,3420,38.0,51,1.34,152,101,66.4,13,14,11,11,28.9,2,1,1,0,50.0,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats,
ENG-Premier League,2425,Everton,1,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,/en/squads/d3fd31cc/2024-2025/Everton-Stats,
ENG-Premier League,2425,Fulham,1,38,38,3420,38.0,54,1.42,159,106,66.0,15,9,14,5,13.2,4,3,1,0,25.0,/en/squads/fd962109/2024-2025/Fulham-Stats,
ENG-Premier League,2425,Ipswich Town,3,38,38,3420,38.0,82,2.16,210,130,61.0,4,10,24,2,5.3,6,6,0,0,0.0,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats,
ENG-Premier League,2425,Leicester City,3,38,38,3420,38.0,80,2.11,209,131,61.7,6,7,25,3,7.9,4,3,1,0,25.0,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats,
ENG-Premier League,2425,Liverpool,3,38,38,3420,38.0,41,1.08,138,98,70.3,25,9,4,14,36.8,2,1,1,0,50.0,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,
ENG-Premier League,2425,Manchester City,2,38,38,3420,38.0,44,1.16,128,86,65.6,21,8,9,13,34.2,4,4,0,0,0.0,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,
ENG-Premier League,2425,Manchester Utd,2,38,38,3420,38.0,54,1.42,149,96,63.8,11,9,18,10,26.3,4,3,1,0,25.0,/en/squads/19538871/2024-2025/Manchester-United-Stats,
ENG-Premier League,2425,Newcastle,2,38,38,3420,38.0,47,1.24,161,115,70.8,20,6,12,13,34.2,2,1,1,0,50.0,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,
ENG-Premier League,2425,Nottingham,1,38,38,3420,38.0,46,1.21,165,119,72.1,19,8,11,13,34.2,3,3,0,0,0.0,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats,
ENG-Premier League,2425,Southampton,3,38,38,3420,38.0,86,2.26,245,157,64.9,2,6,30,3,7.9,9,7,2,0,22.2,/en/squads/33c895d4/2024-2025/Southampton-Stats,
ENG-Premier League,2425,Tottenham,4,38,38,3420,38.0,65,1.71,180,119,63.9,11,5,22,6,15.8,3,3,0,0,0.0,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,
ENG-Premier League,2425,West Ham,2,38,38,3420,38.0,62,1.63,189,127,67.2,11,10,17,7,18.4,3,3,0,0,0.0,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats,
ENG-Premier League,2425,Wolves,4,38,38,3420,38.0,69,1.82,168,100,58.9,12,6,20,8,21.1,9,7,2,0,22.2,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats,
ENG-Premier League,2526,Arsenal,2,38,38,3420,38.0,27,0.71,89,61,69.7,26,7,5,19,50.0,0,0,0,0,,/en/squads/18bb7c10/2025-2026/Arsenal-Stats,
ENG-Premier League,2526,Aston Villa,2,38,38,3420,38.0,49,1.29,163,114,69.9,19,8,11,9,23.7,2,1,1,0,50.0,/en/squads/8602292d/2025-2026/Aston-Villa-Stats,
ENG-Premier League,2526,Bournemouth,1,38,38,3420,38.0,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats,
ENG-Premier League,2526,Brentford,2,38,38,3420,38.0,52,1.37,158,106,67.1,14,11,13,10,26.3,8,5,3,0,37.5,/en/squads/cd051869/2025-2026/Brentford-Stats,
ENG-Premier League,2526,Brighton,1,38,38,3420,38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats,
ENG-Premier League,2526,Burnley,2,38,38,3420,38.0,75,1.97,212,137,64.6,4,10,24,4,10.5,8,7,0,1,0.0,/en/squads/943e8050/2025-2026/Burnley-Stats,
ENG-Premier League,2526,Chelsea,2,38,38,3418,38.0,54,1.42,160,105,66.3,14,10,14,9,23.7,2,2,0,0,0.0,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats,
ENG-Premier League,2526,Crystal Palace,2,38,38,3420,38.0,51,1.34,159,107,67.9,11,12,15,12,31.6,7,5,1,1,16.7,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats,
ENG-Premier League,2526,Everton,1,38,38,3420,38.0,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0,/en/squads/d3fd31cc/2025-2026/Everton-Stats,
ENG-Premier League,2526,Fulham,1,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,/en/squads/fd962109/2025-2026/Fulham-Stats,
