,,,players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,A-xAG,KP,1/3,PPA,CrsPA,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,25,38,,,,,,,,,,,,,,,55,,,,,,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,,,,,,,,,,,,,,,45,,,,,,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,,,,,,,,,,,,,,,41,,,,,,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,,,,,,,,,,,,,,,44,,,,,,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,,,,,,,,,,,,,,,41,,,,,,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,,,,,,,,,,,,,,,47,,,,,,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,,,,,,,,,,,,,,,38,,,,,,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,,,,,,,,,,,,,,,27,,,,,,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,,,,,,,,,,,,,,,44,,,,,,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,,,,,,,,,,,,,,,26,,,,,,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,,,,,,,,,,,,,,,25,,,,,,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,,,,,,,,,,,,,,,65,,,,,,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,,,,,,,,,,,,,,,51,,,,,,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,,,,,,,,,,,,,,,29,,,,,,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle,24,38,,,,,,,,,,,,,,,50,,,,,,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nottingham,23,38,,,,,,,,,,,,,,,42,,,,,,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,38,,,,,,,,,,,,,,,16,,,,,,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,38,,,,,,,,,,,,,,,47,,,,,,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,38,,,,,,,,,,,,,,,29,,,,,,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,32,38,,,,,,,,,,,,,,,42,,,,,,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
ENG-Premier League,2526,Arsenal,25,38,,,,,,,,,,,,,,,51,,,,,,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,38,,,,,,,,,,,,,,,40,,,,,,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,38,,,,,,,,,,,,,,,35,,,,,,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,38,,,,,,,,,,,,,,,33,,,,,,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,28,38,,,,,,,,,,,,,,,33,,,,,,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,28,38,,,,,,,,,,,,,,,27,,,,,,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,30,38,,,,,,,,,,,,,,,39,,,,,,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,30,38,,,,,,,,,,,,,,,23,,,,,,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,38,,,,,,,,,,,,,,,34,,,,,,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,24,38,,,,,,,,,,,,,,,26,,,,,,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,38,,,,,,,,,,,,,,,24,,,,,,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,38,,,,,,,,,,,,,,,44,,,,,,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,38,,,,,,,,,,,,,,,57,,,,,,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,38,,,,,,,,,,,,,,,46,,,,,,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,26,38,,,,,,,,,,,,,,,33,,,,,,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,31,38,,,,,,,,,,,,,,,34,,,,,,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,38,,,,,,,,,,,,,,,25,,,,,,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,31,38,,,,,,,,,,,,,,,36,,,,,,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,32,38,,,,,,,,,,,,,,,31,,,,,,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,31,38,,,,,,,,,,,,,,,18,,,,,,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
ESP-La Liga,2425,Alavés,29,38,,,,,,,,,,,,,,,20,,,,,,/en/squads/8d6fd021/2024-2025/Alaves-Stats
ESP-La Liga,2425,Athletic Club,31,38,,,,,,,,,,,,,,,40,,,,,,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
