,,,,nation,pos,age,Club,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Algeria,Adil Boulbina,Algeria,FW,23,1. Al Duhail SC,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Amine Gouiri,Algeria,FW,26,1. Marseille,2000,4,3,251,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36
INT-World Cup,2026,Algeria,Anis Hadj Moussa,Algeria,MF,24,1. Feyenoord,2002,3,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Aïssa Mandi,Algeria,DF,34,1. Lille,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Fares Chaïbi,Algeria,MF,23,1. Frankfurt,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Farés Ghedjemis,Algeria,"FW,MF",23,2. Frosinone,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Hicham Boudaoui,Algeria,MF,26,1. Nice,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Houssem Aouar,Algeria,MF,27,1. Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.0,1.04,1.04,0.0,1.04
INT-World Cup,2026,Algeria,Ibrahim Maza,Algeria,"MF,FW",20,1. Leverkusen,2005,4,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Jaouen Hadjam,Algeria,DF,23,1. Young Boys,2003,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Luca Zidane,Algeria,GK,28,2. Granada,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Mohamed Amoura,Algeria,"FW,MF",26,1. Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nabil Bentaleb,Algeria,MF,31,1. Lille,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nadhir Benbouali,Algeria,FW,26,1. Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0
INT-World Cup,2026,Algeria,Oussama Benbot,Algeria,GK,31,1. USM Alger,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Rafik Belghali,Algeria,DF,24,1. Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27
INT-World Cup,2026,Algeria,Ramiz Zerrouki,Algeria,MF,28,1. Twente,1998,3,2,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ramy Bensebaini,Algeria,DF,31,1. Dortmund,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Rayan Aït-Nouri,Algeria,DF,25,1. Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Riyad Mahrez,Algeria,MF,35,1. Al-Ahli,1991,4,3,262,2.9,2,1,3,2,0,0,0,0,0.69,0.34,1.03,0.69,1.03
INT-World Cup,2026,Algeria,Samir Chergui,Algeria,DF,27,1. Paris FC,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Zineddine Belaïd,Algeria,DF,27,1. JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Alexis Mac Allister,Argentina,MF,27,1. Liverpool,1998,8,7,750,8.3,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24
INT-World Cup,2026,Argentina,Cristian Romero,Argentina,DF,28,1. Tottenham,1998,7,7,608,6.8,1,0,1,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15
INT-World Cup,2026,Argentina,Emiliano Martínez,Argentina,GK,33,1. Aston Villa,1992,8,8,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Enzo Fernández,Argentina,MF,25,1. Chelsea,2001,7,7,659,7.3,2,0,2,2,0,0,2,1,0.27,0.0,0.27,0.27,0.27
INT-World Cup,2026,Argentina,Exequiel Palacios,Argentina,DF,27,1. Leverkusen,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Facundo Medina,Argentina,DF,27,1. Marseille,1999,5,3,308,3.4,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29
INT-World Cup,2026,Argentina,Flaco López,Argentina,FW,25,1. Palmeiras,2000,2,0,20,0.2,0,1,1,0,0,0,1,0,0.0,4.5,4.5,0.0,4.5
INT-World Cup,2026,Argentina,Giovani Lo Celso,Argentina,MF,30,1. Real Betis,1996,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.0,1.53,1.53,1.53
INT-World Cup,2026,Argentina,Giuliano Simeone,Argentina,FW,23,1. Atlético Madrid,2002,3,2,192,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Gonzalo Montiel,Argentina,DF,29,1. River Plate,1997,6,2,192,2.1,0,1,1,0,0,0,1,0,0.0,0.47,0.47,0.0,0.47
INT-World Cup,2026,Argentina,Julián Álvarez,Argentina,FW,26,1. Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15
INT-World Cup,2026,Argentina,Lautaro Martínez,Argentina,FW,28,1. Inter,1997,7,4,310,3.4,3,1,4,2,1,1,1,0,0.87,0.29,1.16,0.58,0.87
INT-World Cup,2026,Argentina,Leandro Paredes,Argentina,MF,31,1. Boca Juniors,1994,7,4,473,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Lionel Messi,Argentina,FW,38,1. Inter Miami,1987,8,7,740,8.2,8,4,12,8,0,2,0,0,0.97,0.49,1.46,0.97,1.46
INT-World Cup,2026,Argentina,Lisandro Martínez,Argentina,DF,28,1. Manchester Utd,1998,7,7,624,6.9,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29
INT-World Cup,2026,Argentina,Marcos Senesi,Argentina,DF,29,1. Bournemouth,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nahuel Molina,Argentina,DF,28,1. Atlético Madrid,1998,7,5,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás González,Argentina,MF,28,1. Atlético Madrid,1998,7,1,259,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35
INT-World Cup,2026,Argentina,Nicolás Otamendi,Argentina,DF,38,1. Benfica,1988,7,1,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás Paz,Argentina,MF,21,1. Como,2004,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás Tagliafico,Argentina,DF,33,1. Lyon,1992,7,5,476,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Rodrigo De Paul,Argentina,MF,32,1. Inter Miami,1994,7,6,491,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18
