,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,
league,season,team,,,,,,,,,,,,,,,
INT-World Cup,2026,Algeria,22,4.0,3,0,0,29,40,4,40,30,44,,,0,/en/squads/1e2dba57/Algeria-Men-Stats
INT-World Cup,2026,Argentina,24,9.0,15,1,1,113,100,22,104,82,93,,,0,/en/squads/f9fddd6e/Argentina-Men-Stats
INT-World Cup,2026,Australia,23,4.3,5,0,0,46,38,1,70,29,34,,,1,/en/squads/b90bf4f9/Australia-Men-Stats
INT-World Cup,2026,Austria,20,4.0,5,0,0,47,28,11,59,41,29,,,0,/en/squads/d5121f10/Austria-Men-Stats
INT-World Cup,2026,Belgium,23,6.3,6,1,0,78,68,8,114,50,47,,,0,/en/squads/361422b9/Belgium-Men-Stats
INT-World Cup,2026,Bosnia–Herz,23,4.0,7,1,0,60,38,2,57,34,37,,,0,/en/squads/6c5ef1c3/Bosnia-and-Herzegovina-Men-Stats
INT-World Cup,2026,Brazil,22,5.0,8,0,0,51,53,11,93,48,46,,,0,/en/squads/304635c3/Brazil-Men-Stats
INT-World Cup,2026,Cabo Verde,21,4.3,5,0,0,27,47,7,50,52,45,,,1,/en/squads/31fa6fa6/Cabo-Verde-Men-Stats
INT-World Cup,2026,Canada,22,5.0,11,0,0,72,73,7,146,36,51,,,0,/en/squads/9c6d90a0/Canada-Men-Stats
INT-World Cup,2026,Colombia,21,5.3,8,0,0,70,64,19,70,38,33,,,0,/en/squads/ab73cfe5/Colombia-Men-Stats
INT-World Cup,2026,Congo DR,21,4.0,6,0,0,44,45,9,57,22,41,,,0,/en/squads/9be9f315/Congo-DR-Men-Stats
INT-World Cup,2026,Croatia,19,4.0,4,0,0,45,47,8,67,25,32,,,0,/en/squads/7b08e376/Croatia-Men-Stats
INT-World Cup,2026,Curaçao,22,3.0,7,0,0,32,31,5,23,39,26,,,0,/en/squads/e0f5893a/Curacao-Men-Stats
INT-World Cup,2026,Czechia,21,3.0,1,0,0,37,31,5,57,19,19,,,0,/en/squads/2740937c/Czechia-Men-Stats
INT-World Cup,2026,Côte d'Ivoire,22,4.0,4,0,0,29,36,4,61,40,48,,,0,/en/squads/24772b12/Cote-dIvoire-Men-Stats
INT-World Cup,2026,Ecuador,21,4.0,8,1,0,49,38,2,83,38,49,,,0,/en/squads/123acaf8/Ecuador-Men-Stats
INT-World Cup,2026,Egypt,21,5.3,12,0,0,59,67,4,82,44,54,,,2,/en/squads/b8889750/Egypt-Men-Stats
INT-World Cup,2026,England,24,8.3,8,1,0,81,116,15,163,51,77,,,0,/en/squads/1862c019/England-Men-Stats
INT-World Cup,2026,France,22,8.0,6,0,0,84,73,14,109,65,77,,,0,/en/squads/b1b36dcd/France-Men-Stats
INT-World Cup,2026,Germany,23,4.3,3,0,0,51,42,4,105,25,53,,,0,/en/squads/c1e40422/Germany-Men-Stats
INT-World Cup,2026,Ghana,22,4.0,6,0,0,56,47,8,48,31,40,,,0,/en/squads/9349828d/Ghana-Men-Stats
INT-World Cup,2026,Haiti,18,3.0,7,0,0,55,44,7,37,29,28,,,0,/en/squads/61828292/Haiti-Men-Stats
INT-World Cup,2026,IR Iran,20,3.0,6,0,0,35,23,9,37,32,36,,,0,/en/squads/6a08f71e/IR-Iran-Men-Stats
INT-World Cup,2026,Iraq,25,3.0,4,1,0,27,31,1,28,23,35,,,1,/en/squads/ec843efd/Iraq-Men-Stats
INT-World Cup,2026,Japan,24,4.0,4,0,0,55,30,4,57,19,32,,,0,/en/squads/ffcf1690/Japan-Men-Stats
INT-World Cup,2026,Jordan,20,3.0,4,0,0,31,21,3,27,33,31,,,1,/en/squads/3e22f0fa/Jordan-Men-Stats
INT-World Cup,2026,Korea Republic,20,3.0,4,0,0,25,31,8,54,20,23,,,0,/en/squads/473f0fbf/Korea-Republic-Men-Stats
INT-World Cup,2026,Mexico,25,5.0,4,1,0,58,47,5,86,36,32,,,0,/en/squads/b009a548/Mexico-Men-Stats
INT-World Cup,2026,Morocco,23,6.3,7,0,0,74,90,9,83,40,61,,,1,/en/squads/af41ccda/Morocco-Men-Stats
INT-World Cup,2026,Netherlands,22,4.3,3,0,0,44,43,8,74,36,27,,,0,/en/squads/5bb5024a/Netherlands-Men-Stats
INT-World Cup,2026,New Zealand,17,3.0,4,0,0,32,24,4,44,24,21,,,0,/en/squads/259855f0/New-Zealand-Men-Stats
INT-World Cup,2026,Norway,25,6.3,3,0,0,58,41,5,78,44,67,,,0,/en/squads/599eba19/Norway-Men-Stats
INT-World Cup,2026,Panama,20,3.0,5,0,0,46,33,6,59,15,27,,,0,/en/squads/6061a82d/Panama-Men-Stats
INT-World Cup,2026,Paraguay,24,5.3,9,1,0,66,60,5,43,53,88,,,1,/en/squads/d2043442/Paraguay-Men-Stats
INT-World Cup,2026,Portugal,22,5.0,7,0,0,44,60,10,92,30,39,,,0,/en/squads/4a1b4ea8/Portugal-Men-Stats
INT-World Cup,2026,Qatar,22,3.0,4,2,0,36,28,4,28,25,24,,,2,/en/squads/9b696ed1/Qatar-Men-Stats
INT-World Cup,2026,Saudi Arabia,18,3.0,6,0,0,29,26,3,22,29,36,,,1,/en/squads/6e84edac/Saudi-Arabia-Men-Stats
