player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,goals_p90,ga_p90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Jamal Musiala,15.298232819885015,8.386865098029375,33.05999479815364,98.0,14.0,73.0,98.0,14.0,12.0,15.0,58.0,23.0,103.0,47.0,73.0,55.0,9.0,93.0,1930.0,15.0,6,27.6,27.6,22.0,GER-Bundesliga,Bayern Munich,"MF,FW",2,116500000.0,201000000.0,2030.0,80.0,85.0,85.0,61.0,83.0,75.0,88.0,CAM,87.0,91.0,66.6666666666665,51.912972085386,84.2317339230325,13.8235294117645,0.5542837978219208,0.15610441652943893,3.550724637681159,2.644927536231884,0.7448979591836735,0.8333333333333333,3.731884057971014,1.7028985507246377,2.644927536231884,0.32608695652173914,1.9927536231884058,0.303871923841644,1.1978258984838275,2.101449275362319,0.43478260869565216,3.369565217391304,-1.2982328198850155,0.5434782608695652,0.7608695652173912,True,69.0,80.0,86.0,82.0,95.0,71.0,81.2,69.0,False
Bradley Barcola,26.998673629015684,14.717551371082664,55.43402439169586,140.0,25.0,114.0,141.0,22.0,29.0,36.0,89.0,44.0,126.0,57.0,32.0,43.0,24.0,70.0,2459.0,25.0,11,43.599999999999994,43.599999999999994,22.0,FRA-Ligue 1,PSG,FW,2,61500000.0,118400000.0,2028.0,92.0,89.0,80.0,64.0,83.0,69.0,84.0,RM,84.0,88.0,57.142857142857494,37.9332506483255,83.4713171077715,17.66841468334,0.6192356336930204,0.19284766877868345,3.211009174311927,2.6146788990825693,0.8085106382978723,1.0091743119266057,2.889908256880734,1.3073394495412847,0.7339449541284404,0.5504587155963303,0.9862385321100918,0.33755851768538225,1.2714225777911896,2.041284403669725,0.6651376146788992,1.6055045871559634,-1.9986736290156841,0.5733944954128442,0.8256880733944956,True,80.0,85.0,81.0,46.0,96.0,89.0,78.2,46.0,False
Lautaro Martínez,32.11173498257995,11.501739954575896,48.20633790642023,194.0,29.0,166.0,194.0,28.0,21.0,35.0,74.0,50.0,127.0,54.0,89.0,88.0,60.0,38.0,2115.0,29.0,9,52.5,52.5,27.0,ITA-Serie A,Inter,FW,2,99000000.0,163400000.0,2029.0,82.0,84.0,93.0,80.0,88.0,86.0,93.0,ST,88.0,88.0,45.1127819548875,43.73451496093,77.381205673759,15.121483375958999,0.6116520949062847,0.16552440712670075,3.6952380952380954,3.1619047619047618,0.8556701030927835,0.9523809523809523,2.419047619047619,1.0285714285714285,1.6952380952380952,1.1428571428571428,1.6761904761904762,0.21908076103954088,0.9182159601222901,1.4095238095238096,0.4,0.7238095238095238,-3.1117349825799465,0.5523809523809524,0.7238095238095238,True,76.0,91.0,72.0,63.0,83.0,54.0,75.7,54.0,False
Marcus Thuram,24.018760299310088,9.013850331306458,36.981442637741566,139.0,27.0,125.0,139.0,26.0,13.0,25.0,69.0,31.0,110.0,42.0,77.0,59.0,97.0,41.0,1746.0,27.0,10,46.5,46.5,27.0,ITA-Serie A,Inter,FW,2,58500000.0,96500000.0,2028.0,87.0,85.0,85.0,81.0,78.0,84.0,86.0,ST,85.0,85.0,55.546097433211,47.2634440199825,75.3125,19.553014553014997,0.5165324795550557,0.17279683668568407,2.989247311827957,2.6881720430107525,0.8992805755395683,0.6666666666666666,2.3655913978494625,0.9032258064516129,1.6559139784946237,2.086021505376344,1.2688172043010753,0.19384624368400985,0.7952998416718616,1.4838709677419355,0.27956989247311825,0.8817204301075269,2.981239700689912,0.5806451612903226,0.7956989247311828,True,83.0,89.0,55.0,76.0,76.0,67.0,75.3,55.0,False
Luis Díaz,27.21630634739995,16.367909078486264,63.60238518565893,159.0,28.0,130.0,159.0,26.0,25.0,26.0,123.0,50.0,243.0,60.0,69.0,100.0,26.0,114.0,3182.0,28.0,19,53.9,53.9,28.0,ENG-Premier League,Liverpool,"FW,MF",2,80000000.0,132000000.0,2029.0,83.0,86.0,79.0,69.0,82.0,71.0,84.0,LM,87.0,87.0,31.108597285068,42.39578730299,85.945717664283,17.6776568501925,0.5049407485602959,0.17117173803396196,2.9499072356215215,2.411873840445269,0.8176100628930818,0.927643784786642,4.50834879406308,1.1131725417439704,1.280148423005566,0.48237476808905383,1.855287569573284,0.3036717825322127,1.18000714630165,2.282003710575139,0.463821892393321,2.1150278293135436,0.78369365260005,0.5194805194805195,0.8719851576994434,True,74.0,80.0,87.0,38.0,96.0,76.0,74.9,38.0,False
Gonçalo Ramos,21.832282727584243,4.87578393612057,26.304307576268908,113.0,13.0,99.0,113.0,13.0,7.0,32.0,33.0,21.0,48.0,24.0,34.0,25.0,41.0,18.0,949.0,16.0,4,26.4,26.4,24.0,FRA-Ligue 1,PSG,FW,2,30500000.0,58700000.0,2028.0,73.0,73.0,82.0,79.0,75.0,83.0,85.0,ST,80.0,84.0,50.0,44.542940793754,81.95378151260499,14.2633228840125,0.826980406347888,0.1932060418370287,4.28030303030303,3.75,0.8761061946902655,0.7954545454545455,1.8181818181818183,0.9090909090909092,1.2878787878787878,1.5530303030303032,0.946969696969697,0.1846887854591125,0.996375286979883,1.25,0.26515151515151514,0.6818181818181819,-8.832282727584243,0.6060606060606061,0.7575757575757576,True,76.0,96.0,60.0,66.0,77.0,28.0,72.2,28.0,False
Bukayo Saka,16.122279875911772,20.13652891665697,35.57355656847358,138.0,11.0,105.0,138.0,13.0,33.0,16.0,124.0,50.0,187.0,70.0,93.0,72.0,32.0,91.0,2476.0,13.0,15,43.9,43.9,23.0,ENG-Premier League,Arsenal,"FW,MF",2,103500000.0,199200000.0,2030.0,83.0,85.0,82.0,74.0,82.0,49.0,86.0,LM,87.0,89.0,37.820512820512505,52.071183533448,80.497518680206,9.40718940508725,0.3672501110686053,0.11682811504283892,3.143507972665148,2.3917995444191344,0.7608695652173914,1.1389521640091116,4.259681093394078,1.5945330296127562,2.1184510250569475,0.7289293849658315,1.6400911161731209,0.4586908637051702,0.8103315847032706,2.824601366742597,0.7517084282460137,2.072892938496583,-5.122279875911772,0.29612756264236906,0.6378132118451025,True,36.0,68.0,94.0,69.0,94.0,74.0,71.9,36.0,False
Ousmane Dembélé,22.099838135764003,14.00897953659296,42.27774868160486,142.0,28.0,103.0,142.0,29.0,22.0,21.0,104.0,21.0,64.0,17.0,18.0,44.0,6.0,66.0,2348.0,31.0,13,31.0,31.0,28.0,FRA-Ligue 1,PSG,FW,2,122500000.0,226600000.0,2028.0,91.0,93.0,90.0,69.0,88.0,74.0,95.0,CF,90.0,90.0,36.6666666666665,45.553857219924495,83.1505842429575,21.935853379152,0.7128980043794839,0.1556326629279155,4.580645161290323,3.3225806451612905,0.7253521126760564,0.6774193548387096,2.064516129032258,0.5483870967741935,0.5806451612903226,0.1935483870967742,1.4193548387096775,0.45190256569654713,1.3637983445678987,3.3548387096774195,0.7096774193548387,2.129032258064516,5.900161864235997,1.0,1.4193548387096775,True,81.0,85.0,48.0,37.0,98.0,94.0,70.8,37.0,False
Mikel Merino,12.082975510507822,4.455241296440363,19.376477224752307,60.0,11.0,52.0,60.0,11.0,7.0,13.0,30.0,29.0,143.0,72.0,43.0,44.0,88.0,14.0,1402.0,11.0,5,29.1,29.1,29.0,ENG-Premier League,Arsenal,"MF,FW",2,35500000.0,65700000.0,2028.0,53.0,52.0,80.0,78.0,81.0,87.0,81.0,CM,83.0,83.0,45.3593355001805,48.0285898412325,77.937130679066,18.3014354066985,0.4152225261342894,0.20138292517513037,2.0618556701030926,1.7869415807560136,0.8666666666666667,0.9965635738831614,4.914089347079037,2.4742268041237114,1.4776632302405497,3.0240549828178693,1.5120274914089347,0.15310107547905027,0.6658583238746497,1.0309278350515463,0.24054982817869414,0.4810996563573883,-1.082975510507822,0.37800687285223367,0.549828178694158,True,83.0,65.0,97.0,66.0,62.0,9.0,70.4,9.0,False
Abdallah Sima,11.02822651527822,2.459549785591662,13.795841584913433,68.0,8.0,59.0,67.0,9.0,2.0,13.0,23.0,21.0,95.0,22.0,39.0,34.0,62.0,10.0,966.0,9.0,4,21.8,21.8,24.0,FRA-Ligue 1,Lens,"MF,FW",2,4400000.0,8700000.0,2029.0,87.0,84.0,77.0,74.0,71.0,75.0,73.0,ST,73.0,77.0,50.3676470588235,43.605610561056494,74.276510280646,12.79279279279285,0.5058819502421201,0.16217980169526794,3.1192660550458715,2.706422018348624,0.8805970149253731,0.963302752293578,4.3577981651376145,1.0091743119266054,1.7889908256880733,2.8440366972477062,1.5596330275229358,0.11282338466016797,0.6328367699501575,1.055045871559633,0.09174311926605504,0.4587155963302752,-3.02822651527822,0.4128440366972477,0.5963302752293578,True,59.0,88.0,86.0,68.0,46.0,56.0,70.2,46.0,True
