player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,us_np_xg_adj,us_xa_adj,us_xg_chain_adj,us_shots_adj,ss_shotsFromInsideTheBox_adj,ss_totalShots_adj,ss_bigChancesCreated_adj,ss_keyPasses_adj,ss_possessionWonAttThird_adj,ss_ballRecovery_adj,ss_tackles_adj,ss_wasFouled_adj,ss_dispossessed_adj,ss_aerialDuelsWon_adj,ss_successfulDribbles_adj,ss_touches_adj,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,ss_topSpeed,ss_numberOfSprints,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,sprints_p90,goals_p90,ga_p90,ss_shotsFromInsideTheBox_padj90,us_np_xg_padj90,ss_possessionWonAttThird_padj90,ss_ballRecovery_padj90,ss_tackles_padj90,ss_wasFouled_padj90,ss_dispossessed_padj90,us_xa_padj90,us_xg_chain_padj90,ss_keyPasses_padj90,ss_bigChancesCreated_padj90,ss_successfulDribbles_padj90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Bradley Barcola,26.998673629015684,14.717551371082664,55.43402439169586,140.0,25.0,114.0,141.0,22.0,29.0,36.0,89.0,44.0,126.0,57.0,32.0,43.0,24.0,70.0,2459.0,25.0,11,19.317757320671856,10.543653597520656,39.690696235181335,100.12458960328317,81.56968194254446,100.83534541723665,20.762431600547195,63.68372093023255,31.448854309165526,176.17995910020448,79.75460122699386,22.928146374828998,30.729736662106703,33.537832310838446,50.03720930232558,1759.154086867305,43.599999999999994,43.599999999999994,22.0,FRA-Ligue 1,PSG,FW,2,61500000.0,118400000.0,2028.0,92.0,89.0,80.0,36.42,389.0,64.0,83.0,69.0,84.0,RM,84.0,88.0,57.142857142857494,37.9332506483255,83.4713171077715,17.66841468334,0.6192356336930204,0.19284766877868345,3.211009174311927,2.6146788990825693,0.8085106382978723,1.0091743119266057,2.889908256880734,1.3073394495412847,0.7339449541284404,0.5504587155963303,0.9862385321100918,0.33755851768538225,1.2714225777911896,2.041284403669725,0.6651376146788992,1.6055045871559634,-1.9986736290156841,8.922018348623855,0.5733944954128442,0.8256880733944956,1.8708642647372586,0.4430678284557766,0.7213039979166406,4.040824750004691,1.8292339730961895,0.5258749168538762,0.70481047390153,0.24182691737432702,0.9103370696142509,1.460635801152123,0.47620255964557795,1.147642415190954,True,80.0,68.0,82.0,46.0,91.0,73.0,72.8,46.0,False
Jamal Musiala,15.298232819885015,8.386865098029375,33.05999479815364,98.0,14.0,73.0,98.0,14.0,12.0,15.0,58.0,23.0,103.0,47.0,73.0,55.0,9.0,93.0,1930.0,15.0,6,11.035551740951998,6.051722623338077,23.849780144808683,70.70535100638193,52.66679103256423,70.70535100638193,8.654923907707413,41.842801505481916,16.602474226804123,142.7914110429448,65.1717791411043,52.649720176730476,39.703609883816064,12.480572597137016,67.06605792832596,1392.0578759613813,27.6,27.6,22.0,GER-Bundesliga,Bayern Munich,"MF,FW",2,116500000.0,201000000.0,2030.0,80.0,85.0,85.0,34.81,154.0,61.0,83.0,75.0,88.0,CAM,87.0,91.0,66.6666666666665,51.912972085386,84.2317339230325,13.8235294117645,0.5542837978219208,0.15610441652943893,3.550724637681159,2.644927536231884,0.7448979591836735,0.8333333333333333,3.731884057971014,1.7028985507246377,2.644927536231884,0.32608695652173914,1.9927536231884058,0.303871923841644,1.1978258984838275,2.101449275362319,0.43478260869565216,3.369565217391304,-1.2982328198850155,5.579710144927536,0.5434782608695652,0.7608695652173912,1.9082170663972544,0.39983883119391295,0.6015389212610189,5.173601849382057,2.3612963456921845,1.9075985571279157,1.4385365899933356,0.2192653124397854,0.8641224690148073,1.5160435328073156,0.3135841995546164,2.4299296350842736,True,69.0,62.0,74.0,81.0,87.0,58.0,72.6,58.0,False
Lautaro Martínez,32.11173498257995,11.501739954575896,48.20633790642023,194.0,29.0,166.0,194.0,28.0,21.0,35.0,74.0,50.0,127.0,54.0,89.0,88.0,60.0,38.0,2115.0,29.0,9,26.341042013154762,9.43395965003625,39.53200905034532,159.20046620046622,136.20502685720078,159.20046620046622,17.221799939191243,60.71544880240533,41.02395189351711,154.7116564417178,65.79141104294477,73.00886794365056,72.25722103982974,73.079754601227,31.167190297625076,1735.4976352150265,52.5,52.5,27.0,ITA-Serie A,Inter,FW,2,99000000.0,163400000.0,2029.0,82.0,84.0,93.0,33.5,252.0,80.0,88.0,86.0,93.0,ST,88.0,88.0,45.1127819548875,43.73451496093,77.381205673759,15.121483375958999,0.6116520949062847,0.16552440712670075,3.6952380952380954,3.1619047619047618,0.8556701030927835,0.9523809523809523,2.419047619047619,1.0285714285714285,1.6952380952380952,1.1428571428571428,1.6761904761904762,0.21908076103954088,0.9182159601222901,1.4095238095238096,0.4,0.7238095238095238,-3.1117349825799465,4.8,0.5523809523809524,0.7238095238095238,2.5943814639466813,0.5017341335839003,0.781408607495564,2.946888694127958,1.253169734151329,1.390645103688582,1.3763280198062808,0.1796944695245,0.7529906485780061,1.1564847390934347,0.3280342845560237,0.593660767573811,True,76.0,86.0,74.0,60.0,75.0,19.0,70.8,19.0,False
Said El Mala,11.824968876317143,4.186228644102812,17.244747333228588,74.0,12.0,57.0,75.0,11.0,8.0,17.0,21.0,21.0,63.0,24.0,23.0,42.0,17.0,44.0,859.0,13.0,4,12.302999533019324,4.355459163758032,17.941875416912296,76.99148936170212,59.304255319148936,78.03191489361701,8.323404255319149,21.848936170212767,21.848936170212767,60.5521472392638,23.06748466257669,23.929787234042557,43.69787234042553,16.33946830265849,45.77872340425532,893.7255319148936,21.7,21.7,18.0,GER-Bundesliga,Köln,"FW,MF",1,16000000.0,32000000.0,2030.0,85.0,83.0,77.0,35.43,416.0,69.0,68.0,41.0,76.0,CAM,76.0,87.0,44.736842105263,39.393939393939,74.193548387097,17.333333333333,0.5449294413049375,0.15979687670698842,3.4101382488479266,2.6267281105990783,0.76,0.967741935483871,2.903225806451613,1.1059907834101383,1.0599078341013826,0.783410138248848,1.935483870967742,0.19291376240105124,0.7946888171994742,0.967741935483871,0.3686635944700461,2.0276497695852536,0.17503112368285656,19.1705069124424,0.599078341013825,0.783410138248848,2.7329149916658495,0.5669585038257754,1.0068634179821552,2.790421531763309,1.0630177263860225,1.1027551720756938,2.0137268359643103,0.20071240385981715,0.8268145353415804,1.0068634179821552,0.38356701637415436,2.1096185900578486,True,67.0,84.0,77.0,41.0,75.0,85.0,70.5,41.0,True
Lukas Nmecha,10.333729260601103,1.8997879680246115,12.422950609587133,50.0,7.0,45.0,50.0,9.0,2.0,12.0,14.0,10.0,46.0,14.0,35.0,21.0,50.0,11.0,616.0,9.0,1,11.015750948218667,2.0308162662247646,13.242122784942232,53.31540699744158,48.00243500714363,53.31540699744158,2.1400437636761485,14.952453281563718,10.672365754211421,43.11247443762781,13.100204498977504,37.29293183403978,22.442606454430237,46.875255623721884,11.73310328132639,657.2487552034631,17.2,17.2,26.0,GER-Bundesliga,Wolfsburg,FW,2,9000000.0,17800000.0,2027.0,74.0,75.0,76.0,34.73,235.0,79.0,71.0,74.0,76.0,ST,76.0,77.0,48.785344484269004,53.0342516753535,65.906084656085,17.5,0.6007982128256456,0.20667458521202206,2.906976744186047,2.616279069767442,0.9,0.5813953488372093,2.674418604651163,0.813953488372093,2.0348837209302326,2.906976744186047,1.2209302325581395,0.11045278883864021,0.7222645703248334,0.813953488372093,0.11627906976744186,0.6395348837209303,-3.3337292606011033,13.662790697674419,0.5232558139534884,0.5813953488372093,2.790839244601374,0.6404506365243411,0.6204863810588036,2.506539211489989,0.7616397964521805,2.1681937112813823,1.3048027008389673,0.1180707131526026,0.7698908595896647,0.8693286791606814,0.12442114905093887,0.6821571675189761,True,76.0,94.0,50.0,83.0,47.0,51.0,69.9,47.0,True
Luis Díaz,27.21630634739995,16.367909078486264,63.60238518565893,159.0,28.0,130.0,159.0,26.0,25.0,26.0,123.0,50.0,243.0,60.0,69.0,100.0,26.0,114.0,3182.0,28.0,19,21.23705635476466,12.626064363606762,49.406039200710424,123.92268823416137,101.43728865780858,123.92268823416137,19.095451569420373,95.9970498748315,38.92915848257269,314.3865030674846,75.00613496932516,53.80098594261506,78.47352975158867,33.0838445807771,89.10792220296553,2466.983185056807,53.9,53.9,28.0,ENG-Premier League,Liverpool,"FW,MF",2,80000000.0,132000000.0,2029.0,83.0,86.0,79.0,35.13,628.0,69.0,82.0,71.0,84.0,LM,87.0,87.0,31.108597285068,42.39578730299,85.945717664283,17.6776568501925,0.5049407485602959,0.17117173803396196,2.9499072356215215,2.411873840445269,0.8176100628930818,0.927643784786642,4.50834879406308,1.1131725417439704,1.280148423005566,0.48237476808905383,1.855287569573284,0.3036717825322127,1.18000714630165,2.282003710575139,0.463821892393321,2.1150278293135436,0.78369365260005,11.651205936920222,0.5194805194805195,0.8719851576994434,1.881953407380493,0.3940084666932219,0.7222478382666547,5.832773711827173,1.3915794985032497,0.998163004501207,1.4559096428866174,0.2342498026643184,0.9166241039092843,1.7810213334848146,0.35427553932134276,1.6532082041366518,True,74.0,66.0,83.0,35.0,92.0,73.0,69.6,35.0,False
Bukayo Saka,16.122279875911772,20.13652891665697,35.57355656847358,138.0,11.0,105.0,138.0,13.0,33.0,16.0,124.0,50.0,187.0,70.0,93.0,72.0,32.0,91.0,2476.0,13.0,15,13.916020598045998,17.370544688741134,30.717617133207366,119.138475488913,90.63343678719664,119.138475488913,28.451706988744718,107.04589051340537,43.17583105859477,216.39672801635993,81.03271983640082,80.33584489399095,62.12077926934151,37.010224948875255,78.58656470852186,2138.4096959952135,43.9,43.9,23.0,ENG-Premier League,Arsenal,"FW,MF",2,103500000.0,199200000.0,2030.0,83.0,85.0,82.0,34.71,469.0,74.0,82.0,49.0,86.0,LM,87.0,89.0,37.820512820512505,52.071183533448,80.497518680206,9.40718940508725,0.3672501110686053,0.11682811504283892,3.143507972665148,2.3917995444191344,0.7608695652173914,1.1389521640091116,4.259681093394078,1.5945330296127562,2.1184510250569475,0.7289293849658315,1.6400911161731209,0.4586908637051702,0.8103315847032706,2.824601366742597,0.7517084282460137,2.072892938496583,-5.122279875911772,10.683371298405467,0.29612756264236906,0.6378132118451025,2.064542979207213,0.31699363549079723,0.9835041243415664,4.929310433174486,1.8458478322642555,1.8299736877902268,1.4150519195749776,0.3956843892651739,0.6997179301413978,2.4384029729705095,0.6481026648916792,1.7901267587362613,True,36.0,59.0,95.0,68.0,93.0,63.0,69.1,36.0,False
Iván Romero,8.850742192938924,2.88573707267642,14.721420374698935,59.0,7.0,45.0,59.0,7.0,5.0,12.0,25.0,18.0,92.0,33.0,77.0,55.0,30.0,37.0,1110.0,7.0,1,10.088608233909405,3.289336663260535,16.78036028724424,67.25174825174825,51.29370629370629,67.25174825174825,5.699300699300699,28.496503496503497,20.51748251748252,80.71165644171779,28.950920245398773,87.76923076923076,62.692307692307686,26.319018404907972,42.17482517482517,1265.2447552447552,25.1,25.1,24.0,ESP-La Liga,Levante,"FW,MF",1,,,,,,,36.21,482.0,,,,,,,,46.153846153846,49.0,73.220973782772,11.864406779661,0.3526192108740607,0.1500125795413377,2.3505976095617527,1.792828685258964,0.7627118644067796,0.7171314741035856,3.6653386454183265,1.3147410358565736,3.0677290836653386,1.195219123505976,2.191235059760956,0.1149696044891004,0.5865107719003559,0.99601593625498,0.199203187250996,1.4741035856573705,-1.8507421929389238,19.203187250996013,0.2788844621513944,0.3187250996015936,2.0435739559245536,0.40193658302427904,0.8174295823698214,3.2156038422995135,1.1534231173465646,3.496782102359791,2.4977015016855653,0.13104926945261094,0.6685402504878183,1.1353188644025296,0.22706377288050594,1.6802719193157438,True,54.0,67.0,77.0,76.0,60.0,92.0,69.0,54.0,False
Abdallah Sima,11.02822651527822,2.459549785591662,13.795841584913433,68.0,8.0,59.0,67.0,9.0,2.0,13.0,23.0,21.0,95.0,22.0,39.0,34.0,62.0,10.0,966.0,9.0,4,10.95802604783714,2.442984163830892,13.633722028044058,67.04490573347108,58.11768788739669,66.03457515495867,2.020661157024793,22.685078770661153,20.719670067148762,95.97546012269939,22.175869120654397,38.62935821280991,33.68821022727273,62.568507157464225,9.882295971074381,953.5468427169421,21.8,21.8,24.0,FRA-Ligue 1,Lens,"MF,FW",2,4400000.0,8700000.0,2029.0,87.0,84.0,77.0,34.66,197.0,74.0,71.0,75.0,73.0,ST,73.0,77.0,50.3676470588235,43.605610561056494,74.276510280646,12.79279279279285,0.5058819502421201,0.16217980169526794,3.1192660550458715,2.706422018348624,0.8805970149253731,0.963302752293578,4.3577981651376145,1.0091743119266054,1.7889908256880733,2.8440366972477062,1.5596330275229358,0.11282338466016797,0.6328367699501575,1.055045871559633,0.09174311926605504,0.4587155963302752,-3.02822651527822,9.036697247706421,0.4128440366972477,0.5963302752293578,2.6659489856603984,0.5026617453136303,0.9504435810618698,4.40254404232566,1.0172417027823117,1.7719889088444913,1.5453307443703086,0.11206349375371064,0.6254000930295439,1.0405999436083098,0.09269087876260519,0.4533163289483661,True,59.0,89.0,86.0,68.0,46.0,34.0,68.9,34.0,True
Rômulo,15.178863540291786,3.606802409514785,23.735963854938745,63.0,9.0,61.0,63.0,9.0,6.0,22.0,26.0,19.0,71.0,30.0,20.0,35.0,53.0,11.0,943.0,9.0,4,13.745304205930896,3.266159959727277,21.49423393530564,57.05,55.23888888888889,57.05,5.433333333333333,23.544444444444444,17.205555555555556,78.40490797546013,33.128834355828225,18.11111111111111,31.694444444444443,58.52760736196319,9.96111111111111,853.9388888888889,24.3,24.3,23.0,GER-Bundesliga,RB Leipzig,FW,1,21500000.0,38200000.0,2030.0,67.0,68.0,82.0,34.91,487.0,84.0,80.0,81.0,81.0,ST,78.0,83.0,38.686131386861,42.142857142857,74.910394265233,14.285714285714,0.6246445901354645,0.24093434190939342,2.5925925925925926,2.5102880658436213,0.9682539682539683,0.7818930041152263,2.921810699588477,1.2345679012345678,0.823045267489712,2.1810699588477367,1.4403292181069958,0.14842808269608168,0.9767886360057096,1.0699588477366255,0.24691358024691357,0.45267489711934156,-6.178863540291786,20.041152263374485,0.37037037037037035,0.5349794238683128,2.2732053040695015,0.5656503788448929,0.708047553726566,3.2265394228584414,1.36332651670075,0.7453132144490169,1.3042981252857795,0.13440987488589615,0.8845363759385036,0.968907178783722,0.22359396433470505,0.40992226794695924,True,82.0,90.0,73.0,38.0,62.0,50.0,68.8,38.0,True
