player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_bigChancesCreated,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_wasFouled,ss_dispossessed,ss_possessionLost,ss_successfulDribbles,ss_touches,ss_aerialDuelsWon,ss_totalDuelsWon,ss_minutesPlayed,season_nineties,age,league,team,seasons,fifa_value_eur,fifa_contract_end,fifa_pace,fifa_release_clause_eur,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,fifa_best_position,fifa_defensive_work_rate,fifa_stamina,fifa_aggression,pos,team_poss,np_xg_p90,npxg_per_shot,xa_p90,xg_chain_p90,key_passes_p90,big_chances_created_p90,press_won_att3rd_p90,ball_recov_p90,fouled_p90,dispossessed_p90,dribbles_p90,box_shot_share,np_g_minus_xg,FINISH,LINK,PRESS,HOLDUP,SPACE,gates_passed,score,role
Ousmane Dembélé,22.099838135764003,14.00897953659296,42.27774868160486,142.0,28.0,103.0,142.0,22.0,104.0,21.0,64.0,18.0,44.0,558.0,66.0,2348.0,6.0,107.0,2798.0,31.0,28.0,FRA-Ligue 1,PSG,2,122500000.0,2028.0,91.0,226600000.0,36.6666666666665,45.553857219924495,83.1505842429575,CF,,76.0,58.0,FW,68.4,0.7128980043794839,0.1556326629279155,0.45190256569654713,1.3637983445678987,3.3548387096774195,0.7096774193548387,0.6774193548387096,2.064516129032258,0.5806451612903226,1.4193548387096775,2.129032258064516,0.7253521126760564,5.900161864235997,1.6999572980418847,3.673832242754141,0.14964535067353377,-0.4169866079828958,1.5700154774515576,2,1.5463307857540127,CF
Bradley Barcola,26.998673629015684,14.717551371082664,55.43402439169586,140.0,25.0,114.0,141.0,29.0,89.0,44.0,126.0,32.0,43.0,626.0,70.0,2459.0,24.0,183.0,3942.0,43.599999999999994,22.0,FRA-Ligue 1,PSG,2,61500000.0,2028.0,92.0,118400000.0,57.142857142857494,37.9332506483255,83.4713171077715,RM,,74.0,60.0,FW,68.4,0.6192356336930204,0.19284766877868345,0.33755851768538225,1.2714225777911896,2.041284403669725,0.6651376146788992,1.0091743119266057,2.889908256880734,0.7339449541284404,0.9862385321100918,1.6055045871559634,0.8085106382978723,-1.9986736290156841,1.6875764218426896,2.521967821926962,1.3266178386701641,0.04191297547397707,1.344852423211249,3,1.5257244384792297,wide/AM
Jamal Musiala,15.298232819885015,8.386865098029375,33.05999479815364,98.0,14.0,73.0,98.0,12.0,58.0,23.0,103.0,73.0,55.0,459.0,93.0,1930.0,9.0,222.0,2489.0,27.6,22.0,GER-Bundesliga,Bayern Munich,2,116500000.0,2030.0,80.0,201000000.0,66.6666666666665,51.912972085386,84.2317339230325,CAM,,73.0,59.0,"MF,FW",67.7,0.5542837978219208,0.15610441652943893,0.303871923841644,1.1978258984838275,2.101449275362319,0.43478260869565216,0.8333333333333333,3.731884057971014,2.644927536231884,1.9927536231884058,3.369565217391304,0.7448979591836735,-1.2982328198850155,1.1197286830386584,2.1244058561287837,1.0183643748851277,1.6032528283187042,1.4487042043147405,3,1.4725000646639028,wide/AM
Bukayo Saka,16.122279875911772,20.13652891665697,35.57355656847358,138.0,11.0,105.0,138.0,33.0,124.0,50.0,187.0,93.0,72.0,700.0,91.0,2476.0,32.0,286.0,3960.0,43.9,23.0,ENG-Premier League,Arsenal,2,103500000.0,2030.0,83.0,199200000.0,37.820512820512505,52.071183533448,80.497518680206,LM,,86.0,68.0,"FW,MF",56.65,0.3672501110686053,0.11682811504283892,0.4586908637051702,0.8103315847032706,2.824601366742597,0.7517084282460137,1.1389521640091116,4.259681093394078,2.1184510250569475,1.6400911161731209,2.072892938496583,0.7608695652173914,-5.122279875911772,0.0793975011922946,2.7989016836019944,2.045249754728199,0.6337492571053298,0.9307197032650976,3,1.3632950911997763,wide/AM
Désiré Doué,13.535631889477372,13.848399505019188,38.38691745698452,110.0,13.0,69.0,110.0,21.0,84.0,29.0,158.0,72.0,63.0,640.0,89.0,2863.0,9.0,250.0,3090.0,34.2,20.0,FRA-Ligue 1,PSG,2,101000000.0,2029.0,83.0,194400000.0,30.5555555555555,48.6277281660515,85.991114617997,CAM,,80.0,61.0,"FW,MF",68.4,0.3957787102186366,0.12305119899524884,0.40492396213506393,1.122424487046331,2.4561403508771926,0.6140350877192982,0.8479532163742689,4.619883040935672,2.1052631578947367,1.8421052631578947,2.6023391812865495,0.6272727272727273,-0.5356318894773722,0.24015721982538957,2.7466822975462377,1.2802859541561828,0.30638220645198905,1.235162870487729,3,1.233998831715101,wide/AM
Luis Díaz,27.21630634739995,16.367909078486264,63.60238518565893,159.0,28.0,130.0,159.0,25.0,123.0,50.0,243.0,69.0,100.0,716.0,114.0,3182.0,26.0,268.0,4860.0,53.9,28.0,ENG-Premier League,Liverpool,2,80000000.0,2029.0,83.0,132000000.0,31.108597285068,42.39578730299,85.945717664283,LM,,86.0,75.0,"FW,MF",58.5,0.5049407485602959,0.17117173803396196,0.3036717825322127,1.18000714630165,2.282003710575139,0.463821892393321,0.927643784786642,4.50834879406308,1.280148423005566,1.855287569573284,2.1150278293135436,0.8176100628930818,0.78369365260005,1.0726302007650586,2.181520616800097,1.486592717818531,-0.3294945527730996,0.9549481868658094,2,1.2046742930689014,wide/AM
Kylian Mbappé,42.55316662415862,16.634746612980962,66.18040846288204,307.0,41.0,219.0,307.0,23.0,117.0,37.0,80.0,76.0,90.0,779.0,161.0,3275.0,11.0,260.0,5519.0,61.199999999999996,26.0,ESP-La Liga,Real Madrid,2,157000000.0,2029.0,96.0,333600000.0,55.0,45.9405117299855,85.87815484717149,ST,,83.0,61.0,FW,59.95,0.6953131801333109,0.13860966327087498,0.2718095851794275,1.0813792232497066,1.911764705882353,0.37581699346405234,0.6045751633986929,1.3071895424836601,1.2418300653594772,1.4705882352941178,2.630718954248366,0.7133550488599348,-1.5531666241586208,1.482960708868867,1.707921556966773,-0.2508792757966116,0.4267003862498006,2.2378803219796075,2,1.1472318175339988,CF
Karim Adeyemi,10.957356538623571,10.825427951291203,27.40781719982624,77.0,14.0,55.0,77.0,15.0,44.0,25.0,94.0,43.0,51.0,468.0,67.0,1326.0,16.0,151.0,2661.0,29.200000000000003,23.0,GER-Bundesliga,Dortmund,2,43500000.0,2027.0,96.0,77200000.0,42.0833333333335,38.627450980392,75.0438277476265,ST,,77.0,59.0,"MF,FW",56.099999999999994,0.37525193625423187,0.142303331670436,0.3707338339483289,0.938623876706378,1.506849315068493,0.5136986301369862,0.8561643835616437,3.2191780821917804,1.4726027397260273,1.7465753424657533,2.294520547945205,0.7142857142857143,3.0426434613764286,0.3366543732712284,1.9377981835549412,0.9588924937533829,-0.032749170700696356,2.0445588865666844,3,1.062163095337117,CF
Jeremy Doku,5.894390602596104,12.19983974378556,29.40918998233974,68.0,8.0,48.0,68.0,21.0,92.0,33.0,151.0,94.0,108.0,725.0,191.0,2528.0,4.0,342.0,3317.0,36.6,23.0,ENG-Premier League,Manchester City,2,49500000.0,2028.0,92.0,95300000.0,16.6666666666665,54.8878205128205,83.66506291635801,CAM,,68.0,62.0,"MF,FW",61.0,0.16104892356819955,0.08668221474406035,0.3333289547482393,0.8035297809382442,2.513661202185792,0.5737704918032787,0.9016393442622951,4.1256830601092895,2.5683060109289615,2.9508196721311473,5.218579234972677,0.7058823529411765,2.105609397403896,-0.9499258499930219,1.9655395937223048,1.3159092110842356,0.21036936774593118,3.4224493542928403,3,1.0620080864549837,wide/AM
Emanuel Emegha,21.876927665434778,3.2642524130642414,26.005462195724256,78.0,18.0,74.0,78.0,6.0,21.0,22.0,69.0,46.0,31.0,206.0,10.0,762.0,32.0,93.0,2753.0,30.4,22.0,FRA-Ligue 1,Strasbourg,2,22000000.0,2028.0,89.0,43500000.0,69.8529411764705,38.837803320562,81.70223693220751,ST,,84.0,64.0,FW,51.95,0.7196357784682493,0.2804734316081382,0.10737672411395531,0.8554428353856663,0.6907894736842105,0.19736842105263158,0.7236842105263158,2.2697368421052633,1.5131578947368423,1.0197368421052633,0.32894736842105265,0.9487179487179487,-3.8769276654347777,2.840978439731007,0.07669717218285091,0.33600708641791277,0.8268089111136602,0.38317369325776895,3,0.9781177109177615,CF
