player,dist,team,age,season_nineties,FIT,FLOOR,fifa_value_eur,fifa_contract_end,fifa_pace,BUILD,PROGRESS,AERIAL,DUEL,PACE,SECURE
Nayef Aguerd,4.509745963234139,Marseille,29.0,37.1,75.6,66.0,21500000.0,2030.0,75.0,75.0,66.0,80.0,81.0,72.0,79.0
Mario Gila,3.9357979114339985,Lazio,24.0,58.0,75.5,50.0,31500000.0,2027.0,85.0,90.0,70.0,50.0,75.0,97.0,55.0
William Saliba,4.081683217005422,Arsenal,24.0,62.8,75.1,57.0,105500000.0,2030.0,77.0,94.0,81.0,57.0,66.0,80.0,63.0
Nico Schlotterbeck,4.1497778317566505,Dortmund,25.0,50.0,74.5,56.0,75500000.0,2031.0,74.0,82.0,97.0,77.0,73.0,68.0,56.0
Tosin Adarabioyo,4.354347152359184,Chelsea,27.0,24.5,71.4,47.0,14000000.0,2028.0,69.0,80.0,51.0,86.0,83.0,47.0,81.0
Éder Militão,3.9864981428862682,Real Madrid,27.0,23.1,70.9,56.0,45000000.0,2028.0,82.0,69.0,72.0,60.0,70.0,93.0,56.0
Waldemar Anton,3.9568202835314485,Dortmund,29.0,53.7,70.9,49.0,31500000.0,2028.0,69.0,81.0,93.0,71.0,77.0,49.0,62.0
Malick Thiaw,4.3448843673175706,Milan,23.0,53.0,70.1,56.0,33000000.0,2029.0,75.0,77.0,59.0,84.0,69.0,73.0,56.0
Kevin Diks,4.15383617257394,Gladbach,28.0,27.4,67.6,46.0,7000000.0,2030.0,74.0,80.0,73.0,46.0,77.0,67.0,56.0
Marc Guéhi,3.764180904507666,Crystal Palace,25.0,69.0,66.4,55.0,48500000.0,2031.0,71.0,60.0,89.0,55.0,69.0,56.0,77.0
Joško Gvardiol,4.505708380911368,Manchester City,23.0,51.6,66.1,39.0,66000000.0,2028.0,79.0,67.0,96.0,39.0,61.0,85.0,47.0
Strahinja Pavlović,3.9789891093533076,Milan,24.0,52.6,64.2,48.0,15000000.0,2028.0,74.0,71.0,81.0,63.0,53.0,70.0,48.0
Alessio Romagnoli,4.198482021476018,Lazio,30.0,59.3,64.2,31.0,25000000.0,2027.0,64.0,88.0,42.0,76.0,62.0,31.0,81.0
Manuel Akanji,3.6078072641703907,Manchester City,30.0,53.7,63.5,25.0,30500000.0,,78.0,84.0,75.0,25.0,32.0,83.0,65.0
Moussa Niakhaté,4.221528533794756,Lyon,29.0,61.0,62.7,49.0,17500000.0,2028.0,69.0,72.0,53.0,80.0,64.0,49.0,59.0
Jan Paul van Hecke,2.9637998424397085,Brighton,25.0,68.6,62.6,40.0,25000000.0,2027.0,67.0,72.0,76.0,71.0,63.0,40.0,61.0
Marco Friedl,4.069017642345396,Werder Bremen,27.0,52.3,62.3,46.0,11000000.0,2027.0,75.0,82.0,66.0,47.0,50.0,72.0,46.0
Loïc Bade,3.8547906553996047,Leverkusen,25.0,48.2,61.9,21.0,18500000.0,2030.0,61.0,77.0,63.0,83.0,67.0,21.0,69.0
Keven Schlotterbeck,3.832125622178337,Augsburg,28.0,37.0,61.6,29.0,5500000.0,2027.0,63.0,52.0,74.0,80.0,95.0,29.0,58.0
Dean Huijsen,2.6505723370506966,Real Madrid,20.0,49.6,61.0,47.0,47500000.0,2030.0,72.0,63.0,75.0,66.0,57.0,62.0,47.0
Philipp Lienhart,3.989290851968709,Freiburg,29.0,45.3,60.1,40.0,12000000.0,2028.0,67.0,75.0,75.0,61.0,56.0,40.0,57.0
Piero Hincapié,4.324167301071018,Arsenal,23.0,50.6,59.8,26.0,48500000.0,,84.0,36.0,44.0,70.0,26.0,97.0,82.0
Thilo Kehrer,4.380373513916225,Monaco,28.0,52.6,59.6,43.0,13500000.0,2028.0,69.0,65.0,67.0,65.0,73.0,49.0,43.0
Juan Foyth,4.424335148285439,Villarreal,27.0,27.3,58.6,40.0,16000000.0,2029.0,68.0,74.0,63.0,40.0,70.0,44.0,56.0
Edmond Tapsoba,3.9339747546573083,Leverkusen,26.0,56.5,58.6,22.0,31500000.0,2028.0,75.0,67.0,89.0,66.0,22.0,72.0,39.0
Rúben Dias,4.055656342586318,Manchester City,28.0,49.0,56.2,15.0,68500000.0,2029.0,59.0,88.0,78.0,56.0,33.0,15.0,70.0
Jérémy Jacquet,3.9340393477779116,Rennes,20.0,28.9,55.5,33.0,15000000.0,2029.0,64.0,56.0,72.0,75.0,72.0,33.0,39.0
Lloyd Kelly,4.458843879864399,Juventus,26.0,48.0,53.2,19.0,15500000.0,2029.0,69.0,19.0,48.0,82.0,73.0,47.0,68.0
Alessandro Circati,4.217169545367901,Parma,21.0,35.6,52.7,15.0,4900000.0,2027.0,59.0,58.0,41.0,83.0,83.0,15.0,47.0
Benjamin Pavard,3.5531702677544104,Inter,29.0,40.0,52.3,5.0,21500000.0,,77.0,57.0,12.0,5.0,44.0,80.0,86.0
Jhon Lucumí,4.4980072741863415,Bologna,27.0,54.4,51.7,32.0,8000000.0,2028.0,65.0,84.0,63.0,32.0,57.0,33.0,34.0
Pascal Struijk,4.1896891009301696,Leeds United,25.0,32.6,50.1,17.0,8500000.0,2027.0,59.0,70.0,59.0,57.0,36.0,17.0,65.0
Noahkai Banks,4.3631363104887155,Augsburg,18.0,22.3,47.2,22.0,4100000.0,2027.0,61.0,78.0,76.0,34.0,44.0,22.0,30.0
Alexsandro Ribeiro,2.906948248230727,Lille,25.0,35.7,,45.0,,,,89.0,75.0,88.0,78.0,,45.0
Gabriel Magalhães,3.52679059270853,Arsenal,27.0,56.900000000000006,,54.0,,,,54.0,65.0,73.0,71.0,,69.0
