player,dist,team,age,season_nineties,FIT,FLOOR,fifa_value_eur,fifa_contract_end,fifa_pace,FINISH,BOX,PRESS,HOLDUP,LINK,RUN
Marcus Thuram,3.5638328975338234,Inter,27.0,46.5,69.9,51.0,58500000.0,2028.0,87.0,83.0,80.0,51.0,72.0,65.0,64.0
Emanuel Emegha,3.2232568374635377,Strasbourg,22.0,30.4,69.2,50.0,22000000.0,2028.0,89.0,91.0,91.0,50.0,64.0,51.0,52.0
Lukas Nmecha,3.2789616971012223,Wolfsburg,26.0,17.2,68.5,31.0,9000000.0,2027.0,74.0,76.0,94.0,50.0,83.0,47.0,31.0
Hugo Ekitike,3.068687101697174,Liverpool,23.0,48.5,66.8,35.0,74500000.0,2031.0,86.0,78.0,83.0,54.0,35.0,79.0,79.0
João Pedro,3.2089069893166697,Brighton,23.0,51.2,66.1,54.0,44000000.0,2033.0,79.0,84.0,57.0,64.0,69.0,63.0,54.0
Rômulo,3.4308394085939473,RB Leipzig,23.0,24.3,66.0,10.0,21500000.0,2030.0,67.0,82.0,90.0,73.0,38.0,62.0,10.0
Mateo Retegui,3.7142027041131334,Atalanta,25.0,26.5,65.9,15.0,,,,88.0,98.0,45.0,40.0,75.0,15.0
Joaquín Panichelli,3.658316730629507,Strasbourg,22.0,24.4,64.7,10.0,24000000.0,2030.0,69.0,84.0,76.0,67.0,71.0,40.0,10.0
Maximilian Beier,3.436871209348211,Dortmund,22.0,40.2,64.3,43.0,31000000.0,2029.0,86.0,84.0,59.0,68.0,43.0,68.0,66.0
Jonathan Burkardt,2.8731307467203617,Frankfurt,25.0,38.2,63.3,30.0,42000000.0,2030.0,83.0,95.0,90.0,56.0,30.0,43.0,48.0
Nicolas Jackson,3.4389920635661624,Bayern Munich,24.0,35.9,63.0,36.0,24500000.0,,82.0,81.0,82.0,58.0,36.0,59.0,49.0
Yoane Wissa,2.440172431016241,Newcastle,28.0,38.3,62.9,45.0,26500000.0,2029.0,85.0,83.0,87.0,47.0,51.0,45.0,50.0
Jonathan David,3.637924581761374,Juventus,25.0,48.2,62.5,38.0,34500000.0,2030.0,81.0,88.0,69.0,58.0,38.0,68.0,41.0
Serhou Guirassy,2.349300581563321,Dortmund,29.0,54.9,60.1,17.0,54000000.0,2028.0,72.0,94.0,91.0,17.0,68.0,42.0,17.0
Pavel Šulc,3.6901035370552893,Lyon,24.0,17.4,58.9,32.0,19000000.0,2029.0,74.0,86.0,73.0,41.0,35.0,71.0,32.0
Erling Haaland,2.7069644683796565,Manchester City,25.0,63.2,58.5,13.0,172500000.0,2034.0,88.0,91.0,93.0,13.0,48.0,45.0,53.0
Francesco Esposito,3.6887273807703567,Inter,20.0,17.5,58.4,2.0,16500000.0,2027.0,64.0,63.0,86.0,30.0,87.0,42.0,2.0
Moise Kean,2.7063255538806197,Fiorentina,25.0,52.6,58.3,25.0,48500000.0,2029.0,86.0,71.0,88.0,28.0,66.0,25.0,71.0
Alexander Sørloth,3.299241307123478,Atlético Madrid,29.0,39.4,57.5,26.0,36500000.0,2028.0,77.0,94.0,98.0,26.0,37.0,33.0,31.0
Ermedin Demirović,2.0634660623441903,Stuttgart,27.0,37.2,57.1,12.0,23000000.0,2028.0,72.0,94.0,88.0,25.0,43.0,48.0,12.0
Jean-Philippe Mateta,2.9135472285819253,Crystal Palace,28.0,54.0,57.0,29.0,31000000.0,2027.0,75.0,88.0,78.0,50.0,30.0,44.0,29.0
Ollie Watkins,1.7990379764342794,Aston Villa,29.0,60.4,55.1,21.0,30500000.0,2028.0,77.0,89.0,89.0,21.0,36.0,43.0,34.0
Jorge de Frutos,3.5389668376920556,Rayo Vallecano,28.0,55.1,54.4,45.0,,,,64.0,52.0,62.0,45.0,47.0,56.0
Dominic Calvert-Lewin,3.5871057772137216,Everton,28.0,48.1,54.3,18.0,11000000.0,2028.0,73.0,64.0,93.0,44.0,50.0,22.0,18.0
Patrik Schick,2.461253582163525,Leverkusen,29.0,40.8,53.9,10.0,54000000.0,2030.0,72.0,93.0,91.0,10.0,47.0,36.0,18.0
Kai Havertz,2.974572979194859,Arsenal,26.0,27.3,53.5,16.0,38000000.0,2028.0,72.0,79.0,78.0,25.0,45.0,53.0,16.0
Dominic Solanke,3.4052485619773187,Tottenham,27.0,35.6,53.0,24.0,23000000.0,2030.0,71.0,76.0,74.0,47.0,43.0,28.0,24.0
Dženan Pejčinović,3.655592982838056,Wolfsburg,20.0,16.2,51.4,6.0,4700000.0,2029.0,67.0,64.0,87.0,40.0,30.0,46.0,6.0
Dušan Vlahović,3.4336144636943446,Juventus,25.0,30.6,49.7,24.0,34500000.0,2028.0,77.0,64.0,84.0,24.0,43.0,35.0,27.0
Esteban Lepaul,2.230119151783474,Angers,25.0,47.900000000000006,49.4,23.0,23500000.0,2029.0,76.0,80.0,79.0,23.0,40.0,27.0,25.0
Brian Brobbey,3.6972306194309534,Sunderland,23.0,21.4,47.9,13.0,17000000.0,2030.0,84.0,77.0,65.0,13.0,60.0,23.0,41.0
Roberto Piccoli,3.425951266921958,Fiorentina,24.0,53.3,45.4,16.0,8500000.0,2030.0,73.0,52.0,84.0,16.0,58.0,18.0,18.0
Zian Flemming,3.382360021402739,Burnley,26.0,19.7,44.8,8.0,6500000.0,2029.0,70.0,69.0,80.0,11.0,57.0,12.0,8.0
Andrea Pinamonti,3.581721863423431,Sassuolo,26.0,60.1,37.9,11.0,6500000.0,2027.0,69.0,41.0,66.0,11.0,59.0,16.0,11.0
